OBJECTID,objectid_1,ia_no,subject_id,incident_type,county_location,occurred_date,type_force_used,subject_resistence,officer_condition_injury,subject_sex,subject_race,disposition,status,subject_injury
192,191,UOF2021-113,subject_9612767,Use of Force,AB3,20210725,Physical Force-Restr.,Passive Resistance,,Male,White,Within Policy,Completed,
193,192,UOF2021-115,subject_9612773,Use of Force,AB3,20210729,Physical Force-Push,Active Resistance,,Male,Black,Within Policy,Completed,Minor Injury-No Treatment
194,193,UOF2021-116,subject_9612775,Use of Force,AD2,20210730,Physical Force-Restr.,Passive Resistance,,Male,Hispanic,Within Policy,Completed,
195,194,UOF2021-117,subject_9612782,Use of Force,AB3,20210806,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
196,195,UOF2021-118,subject_9612752,Use of Force,AC1,20210806,Physical Force-Push,Passive Resistance,,Male,White,Within Policy,Completed,
197,196,UOF2021-119,subject_9612645,Use of Force,AC1,20210810,Physical Force-Restr.,Active Resistance,,Female,White,Within Policy,Completed,
198,197,UOF2021-120,subject_9612787,Use of Force,AC1,20210814,Physical Force-Struggle,Assaultive,,Male,White,Within Policy,Completed,Minor Injury-No Treatement
199,198,UOF2021-121,subject_9612789,Use of Force,AA1,20210816,Physical Force-Restr.,Aggressive Resistance,,Male,White,Within Policy,Completed,Minor Injury-Treated at Hospital
200,199,UOF2021-122,subject_9612791,Use of Force,AC1,20210818,Physical Force-Restr.,Active Resistance,,Male,Black,Within Policy,Completed,Treated at Scene
201,200,UOF2021-125,subject_9612792,Use of Force,AA3,20210819,Physical Force-Struggle,Active Resistance,,Female,White,Within Policy,Within Policy,
202,201,UOF2021-123,subject_9612793,Use of Force,AB4,20210820,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
203,202,UOF2021-124,subject_9612795,Use of Force,AA2,20210821,Physical Force-Restr.,Active Resistance,,Female,White,Within Policy,Within Policy,
204,203,UOF2021-126,subject_9612798,Use of Force,AC1,20210826,Physical Force-Restr.,Assaultive,Officer Injured,Male,White,Within Policy,Within Policy,
205,204,UOF2021-127,subject_9612359,Use of Force,AC1,20210828,Physical Force-Restr.,Active Resistance,,Female,White,Within Policy,Within Policy,Minor Inury-No Treatment
206,205,UOF2021-128,subject_9612799,Use of Force,AB4,20210830,Physical Force-Push,Active Resistance,,Male,White,Within Policy,Within Policy,
207,206,UOF2021-129,subject_9612800,Use of Force,AC1,20210831,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Within Policy,
208,207,UOF2021-130,subject_9612540,Use of Force,AB4,20210831,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Within Policy,
209,208,UOF2021-131,subject_9611960,Use of Force,AD1,20210903,Physical Force-Struggle,Active Resistance,,Male,Black,Within Policy,Within Policy,
210,209,UOF2021-132,subject_9612801,Use of Force,AC1,20210904,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Within Policy,
211,210,UOF2021-133,subject_9612802,Use of Force,AD3,20210904,Physical Force-Struggle,Assaultive,,Female,Black,Within Policy,Within Policy,
212,211,UOF2021-134,subject_9612806,Use of Force,AA4,20210907,Physical Force-Struggle,Assaultive,,Female,White,Within Policy,Within Policy,
213,212,UOF2021-135,subject_9612467,Use of Force,AA1,20210907,Physical Force-Restr.,Passive Resistance,,Male,Black,Within Policy,Within Policy,
214,213,UOF2021-136,subject_9612807,Use of Force,AB3,20210908,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Within Policy,
215,214,UOF2021-137,subject_9612808,Use of Force,AB3,20210908,Physical Force-Struggle,Assaultive,Officer Injured,Male,White,Within Policy,Within Policy,
216,215,UOF2021-138,subject_9612812,Use of Force,AC1,20210909,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Within Policy,
217,216,UOF2021-139,subject_9612814,Use of Force,AB3,20210909,Taser Deployment,Active Resistance,,Male,Black,Within Policy,Within Policy,
218,217,UOF2021-140,subject_9612817,Use of Force,AD1,20210909,Physical Force-Restr.,Passive Resistance,,Female,White,Within Policy,Within Policy,
219,218,UOF2021-141,subject_9612818,Use of Force,AB4,20210910,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Within Policy,
220,219,UOF2021-142,subject_9612819,Use of Force,AD3,20210912,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Within Policy,
221,220,UOF2021-143,subject_9612822,Use of Force,AC1,20210912,Physical Force-Struggle,Active Resistance,,Male,Black,Within Policy,Within Policy,
222,221,UOF2021-144,subject_9612862,Use of Force,AA1,20210912,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Within Policy,
223,222,UOF2021-145,subject_9612823,Use of Force,AA4,20210914,Physical Force-Struggle,Assaultive,,Male,Black,Within Policy,Within Policy,
224,223,UOF2021-146,subject_9612797,Use of Force,AB4,20210914,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Within Policy,
225,224,UOF2021-147,subject_9612829,Use of Force,AC1,20210919,Physical Force-Struggle,Active Resistance,,Male,Hispanic,Within Policy,Within Policy,
226,225,UOF2021-148,subject_9612512,Use of Force,AB4,20210921,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Within Policy,
227,226,UOF2021-149,subject_9612831,Use of Force,AD1,20210922,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Within Policy,
228,227,UOF2021-150,subject_9612832,Use of Force,AC1,20210922,Physical Force-Restr.,Active Resistance,,Male,Black,Within Policy,Within Policy,
229,228,UOF2021-151,subject_9612835,Use of Force,AA3,20210923,Physical Force-Struggle,Active Resistance,,Female,White,Within Policy,Within Policy,
230,229,UOF2021-152,subject_9612847,Use of Force,AB3,20210924,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Within Policy,
231,230,UOF2021-153,subject_9612837,Use of Force,AD4,20210925,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Within Policy,
232,231,UOF2021-154,subject_9612838,Use of Force,AA3,20210926,Physical Force-Struggle,Aggressive Resistance,,Male,White,Within Policy,Within Policy,
233,232,UOF2021-155,subject_9612840,Use of Force,AC1,20210927,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Within Policy,
234,233,UOF2021-156,subject_9612842,Use of Force,AB4,20210927,Physical Force-Restr.,Passive Resistance,,Male,Black,Within Policy,Within Policy,
235,234,UOF2021-157,subject_9612846,Use of Force,AB4,20210927,Physical Force-Struggle,Active Resistance,,Female,White,Within Policy,Within Policy,
236,235,,subject_961,Use of Force,AC1,20211002,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
237,236,,subject_961,Use of Force,AA4,20211002,Physical Force-Restraint,Aggressive Resistance,,Male,Black,Within Policy,Completed,
238,237,RR-0000005,subject_9612860,Use of Force,AA2,20211005,Physical Force-Restraint,Assaultive Resistance,,Female,White,Within Policy,Completed,
239,238,RR-0000006,subject_9611083,Use of Force,AB1,20211008,Physical Force-Restraint,Aggressive Resistance,,Male,White,Within Policy,Completed,
240,239,RR-0000007,subject_9612857,Use of Force,AB4,20211008,Physical Force-Restraint,Aggressive Resistance,,Female,White,Within Policy,Completed,Subject Injured-Treated at Hospital
241,240,,subject_961,Use of Force,AA4,20211008,Physical Force-Restraint,Active Resistance,,Female,White,Within Policy,Completed,
242,241,,subject_961,Use of Force,AA3,20211009,Physical Force-Restraint,Passive Resistance,,Female,Black,Within Policy,Completed,
243,242,RR-0000008,subject_9612995,Use of Force,AA1,20211011,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,Subject Injured
244,243,,subject_961,Use of Force,AA1,20211011,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
245,244,RR-0000013,subject_9612865,Use of Force,AC1,20211012,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,Subject Injured
246,245,RR-0000014,subject_9612871,Use of Force,AA1,20211015,Physical Force-Restraint,Aggressive Resistance,,Male,White,Within Policy,Completed,
247,246,RR-0000015,subject_9612869,Use of Force,AB4,20211016,Taser Deployment,Passive Resistance,,Male,White,Within Policy,Completed,
248,247,,subject_961,Use of Force,AC2,20211021,Physical Force-Restraint,Passive Resistance,,Female,White,Within Policy,Completed,
249,248,RR-0000016,subject_9612888,Use of Force,AA4,20211024,Physical Force-Restraint,Assaultive Resistance,,Male,White,Within Policy,Completed,Subject Injured-Treated at Hospital
250,249,RR-0000019,subject_9612900,Use of Force,AB2,20211028,Physical Force-Restraint,Passive Resistance,,Male,White,Within Policy,Completed,
251,250,RR-0000026,subject_961,Use of Force,Baker,20211028,Physical Force-Restraint,Passive Resistance,,Male,White,,,
252,251,RR-0000024,subject_9612887,Use of Force,AC1,20211031,Physical Force-Restraint,Aggressive Resistance,,Male,White,Within Policy,Completed,
253,252,,subject_961,Use of Force,AA4,20211031,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
254,253,RR-0000020,subject_9612918,Use of Force,AA4,20211101,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
255,254,RR-0000022,subject_9612903,Use of Force,AA2,20211103,Physical Force-Restraint,Other,,Male,Black,Within Policy,Completed,
256,255,RR-0000023,subject_9612891,Use of Force,AB3,20211103,Physical Force-Restraint,Assaultive Resistance,,Male,Black,Within Policy,Completed,Subject Injured-Treated at Hospital
257,256,RR-0000025,subject_9612892,Use of Force,AC1,20211104,Physical Force-Restraint,Assaultive Resistance,,Male,Black,Within Policy,Completed,
258,257,RR-0000027,subject_9612901,Use of Force,AC1,20211106,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy ,Completed,
259,258,RR-0000028,subject_9612200,Use of Force,AA1,20211107,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy ,Completed,Subject Injured
260,259,RR-0000029,subject_9612907,Use of Force,AC3,20211113,Physical Force-Restraint,Aggressive Resistance,,Male,White,Within Policy ,Completed,
261,260,RR-0000030,subject_9612908,Use of Force,AA2,20211114,Physical Force-Restraint,Active Resistance,,Male,Black,Within Policy ,Completed,
262,261,RR-0000032,subject_9612912,Use of Force,AA1,20211118,Physical Force-Restraint,Active Resistance,,Female,White,Within Policy ,Completed,
263,262,RR-0000034,subject_9611205,Use of Force,AA4,20211122,Physical Force-Restraint,Passive Resistance,,Male,White,Within Policy ,Completed,
264,263,RR-0000033,subject_9612926,Use of Force,AB3,20211124,Physical Force-Restraint,Assaultive Resistance,,Female,White,Within Policy ,Completed,Subject Injured-Treated at Hospital
265,264,RR-0000036,subject_9612920,Use of Force,AD1,20211125,Physical Force-Restraint,Active Resistance,,Male,Black,Within Policy ,Completed,Subject Injured-Treated at Hospital
266,265,,subject_961,Use of Force,AB3,20211127,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
267,266,,subject_961,Use of Force,AD1,20211129,Physical Force,Aggressive Resistance,,Male,Black,Within Policy,Completed,
268,267,RR-0000037,subject_9612939,Use of Force,AC2,20211201,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy ,Completed,Subject Injured
269,268,RR-0000039,subject_9612929,Use of Force,AA1,20211201,Physical Force-Restraint,Aggressive Resistance,,Female,White,Within Policy,Completed,
270,269,,subject_961,Use of Force,AD1,20211201,Physical Force-Restraint,Aggressive Resistance,,Male,White,Within Policy,Completed,
271,270,,subject_961,Use of Force,AB1,20211205,Physical Force-Restraint,Passive Resistance,,Male,White,Within Policy,Completed,
272,271,RR-0000041,subject_9612957,Use of Force,AB1,20211206,Physical Force-Restraint,Active Resistance,,Male,Black,Within Policy ,Completed,Subject Injured-Treated at Hospital
273,272,RR-0000040,subject_9612937,Use of Force,AB2,20211208,Physical Force-Restraint,Other,,Female,White,Within Policy ,Completed,Subject Injured-Treated at Hospital
274,273,RR-0000043,subject_9612960,Use of Force,AB1,20211208,Physical Force-Restraint,Assaultive Resistance,,Male,Black,Within Policy,Completed,
275,274,,subject_961,Use of Force,AB2,20211210,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
276,275,RR-0000045,subject_9612953,Use of Force,AB4,20211211,Physical Force-Restraint,Active Resistance,,Female,Black,Within Policy,Completed,
277,276,RR-0000046,subject_9612955,Use of Force,AA1,20211211,Taser Deployment,Assaultive Resistance,,Male,White,Within Policy,Completed,Subject Injured
278,277,RR-0000047,subject_9612945,Use of Force,AD3,20211211,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
279,278,RR-0000048,subject_9612950,Use of Force,AA1,20211211,Physical Force-Restraint,Active Resistance,,Male,Black,Within Policy,Completed,
280,279,,subject_961,Use of Force,AA1,20211211,Physical Force,Aggressive Resistance,,Male,White,Within Policy,Completed,
281,280,RR-0000050,subject_9612955,Use of Force,AA1,20211215,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
282,281,RR-0000052,subject_9613001,Use of Force,AD2,20211216,Physical Force-Restraint,Aggressive Resistance,,Male,White,Within Policy,Completed,Subject Injured
283,282,RR-0000053,subject_9613001,Use of Force,AD2,20211216,Physical Force-Restraint,Aggressive Resistance,,Male,White,Within Policy,Completed,Subject Injured
284,283,RR-0000054,subject_9612976,Use of Force,AA4,20211217,Physical Force-Restraint,Aggressive Resistance,,Male,White,Within Policy,Completed,Subject Injured
285,284,RR-0000055,subject_9612464,Use of Force,AC1,20211217,Physical Force-Restraint,Active Resistance,,Female,Black,Within Policy,Completed,
286,285,,subject_961,Use of Force,AA4,20211217,Physical Force,Active Resistance,,Female,White,Within Policy,Completed,
287,286,,subject_9613005,Use of Force,AA2,20211219,OC Deployment,Aggressive Resistance,,Male,Black,Within Policy,Closed,
288,287,RR-0000081,subject_9613005,Use of Force,AA2,20211219,Physical Force,Aggressive Resistance,,Male,Black,Within Policy,Closed,Subject Injured
289,288,RR-0000057,subject_9612968,Use of Force,AD3,20211220,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
290,289,,subject_961,Use of Force,AA2,20211220,Physical Force,Active Resistance,,Male,Black,Within Policy,Completed,
291,290,,subject_961539,Use of Force,AA4,20211221,Physical Force,Aggressive Resistance,,Male,Black,Within Policy,Closed,
292,291,RR-0000082,subject_961539,Use of Force,AA4,20211221,Physical Force-Restraint,Aggressive Resistance,,Male,Black,Within Policy,Closed,
293,292,RR-0000058,subject_9612999,Use of Force,AA2,20211224,Physical Force-Restraint,Passive Resistance,,Male,White,Within Policy,Completed,
294,293,RR-0000060,subject_9612971,Use of Force,AC3,20211225,Physical Force-Restraint,Passive Resistance,,Male,White,Within Policy,Completed,
295,294,RR-0000061,subject_9612977,Use of Force,AC1,20211228,Physical Force-Restraint,Active Resistance,,Female,White,Within Policy,Completed,
296,295,,subject_9612977,Use of Force,AC1,20211228,Physical Force-Restraint,Passive Resistance,,Female,White,Within Policy,Closed,
297,296,RR-0000062,subject_9612978,Use of Force,AA3,20211229,Physical Force-Restraint,Aggressive Resistance,,Male,White,Within Policy,Completed,Subject Injured-Treated at Hospital
298,297,RR-0000063,subject_9612981,Use of Force,AD1,20211230,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
299,298,RR-0000065,subject_9612479,Use of Force,AB1,20211231,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,Subject Injured-Treated at Hospital
300,299,RR-0000066,subject_9612985,Use of Force,AA4,20211231,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,Subject Injured
301,300,RR-0000067,subject_9612968,Use of Force,AB3,20220102,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
302,301,RR-0000067,subject_9612968,Use of Force,AB3,20220102,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Closed,
303,302,RR-0000069,subject_9612989,Use of Force,AD1,20220105,Physical Force-Restraint,Assaultive Resistance,,Female,Black,Within Policy,Closed,
304,303,RR-0000071,subject_9612968,Use of Force,AD2,20220105,Physical Force,Passive Resistance,,Male,White,Within Policy,Closed,Subject Injured-Treated at Hospital
305,304,RR-0000072,subject_9612994,Use of Force,AC1,20220106,Physical Force-Restraint,Passive Resistance,,Male,White,Within Policy,Closed,
306,305,RR-0000074,subject_9612978,Use of Force,AB2,20220109,Physical Force,Active Resistance,,Male,White,Within Policy,Closed,Subject Injured
307,306,RR-0000075,subject_9613015,Use of Force,AA3,20220109,Physical Force,Aggressive Resistance,,Female,Black,Within Policy,Closed,
308,307,RR-0000076,subject_9612672,Use of Force,AB3,20220115,Physical Force,Aggressive Resistance,,Male,Black,Within Policy,Closed,
309,308,RR-0000102,subject_9613116,Use of Force,AC1,20220115,Physical Force-Restraint,Assaultive Resistance,,Female,White,Within Policy,Closed,
310,309,RR-0000102,subject_9613116,Use of Force,AC1,20220115,Physical Force-Restraint,Assaultive Resistance,,Female,White,Within Policy,Closed,
311,310,RR-0000077,subject_9613006,Use of Force,AB1,20220118,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Closed,Subject Injured-Treated at Hospital
312,311,RR-0000078,subject_9613007,Use of Force,AD1,20220120,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Closed,
313,312,RR-0000085,subject_9613008,Use of Force,AA2,20220125,Physical Force-Restraint,Passive Resistance,,Male,White,Within Policy,Closed,
314,313,RR-0000079,subject_9613009,Use of Force,AB1,20220127,Taser Deployment,Active Resistance,,Male,White,Within Policy,Closed,Subject Injured
315,314,RR-0000080,subject_9613010,Use of Force,AB3,20220128,Physical Force-Restraint,Active Resistance,,Male,Black,Within Policy,Closed,Subject Injured-Treated at Hospital
316,315,RR-0000086,subject_9613014,Use of Force,AD1,20220201,,Passive Resistance,,Male,White,,,
317,316,RR-0000087,subject_9613013,Use of Force,AB4,20220201,Physical Force-Restraint,Passive Resistance,,Male,White,Within Policy,Closed,
318,317,RR-0000088,subject_9612464,Use of Force,AC2,20220203,Physical Force-Restraint,Assaultive Resistance,,Female,Black,Within Policy,Closed,
319,318,RR-0000089,subject_9613029,Use of Force,AA2,20220206,Taser Deployment,Assaultive Resistance,,Male,White,Within Policy,Closed,Subject Injured
320,319,RR-0000090,subject_9613019,Use of Force,AC1,20220210,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Closed,
321,320,RR-0000091,subject_9613020,Use of Force,AB2,20220210,Physical Force,Assaultive Resistance,,Female,White,Within Policy,Closed,Subject Injured-Treated at Hospital
322,321,RR-0000092,subject_9613021,Use of Force,AC1,20220211,Physical Force-Restraint,Passive Resistance,,Male,Black,Within Policy,Closed,
323,322,RR-0000093,subject_9613024,Use of Force,AD1,20220211,Show of Force,Passive Resistance,,Male,Black,Within Policy,Closed,
324,323,RR-0000094,subject_9612512,Use of Force,AB3,20220213,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Closed,
325,324,RR-0000095,subject_9613042,Use of Force,AC2,20220217,Show of Force,Other,,Male,Black,Within Policy,Closed,
326,325,RR-0000096,subject_9613031,Use of Force,AB4,20220222,Physical Force-Restraint,Assaultive Resistance,,Female,Asian,Within Policy,Closed,Subject Injured-Treated at Hospital
327,326,RR-0000097,subject_9612510,Use of Force,AC1,20220222,Physical Force-Restraint,Active Resistance,,Female,White,Within Policy,Closed,
328,327,RR-0000100,subject_9612200,Use of Force,AA1,20220225,Physical Force-Restraint,Passive Resistance,,Male,White,Within Policy,Closed,Subject Injured
329,328,RR-0000098,subject_9612464,Use of Force,AC1,20220226,Physical Force-Restraint,Active Resistance,,Female,Black,Within Policy,Closed,
330,329,RR-0000099,subject_9612793,Use of Force,AC3,20220226,Physical Force-Restraint,Aggressive Resistance,,Male,White,Within Policy,Closed,
331,330,RR-0000101,subject_9613041,Use of Force,AA4,20220226,Physical Force,Passive Resistance,,Male,Black,Within Policy,Closed,Subject Injured
332,331,RR-0000104,subject_9613048,Use of Force,AD1,20220303,Taser Deployment,Passive Resistance,,Male,Black,Within Policy,Closed,
333,332,RR-0000109,subject_9613049,Use of Force,AB1,20220303,Physical Force-Restraint,Aggressive Resistance,Officer Injured,Male,Black,Within Policy,Closed,Subject Injured-Treated at Hospital
334,333,RR-0000105,subject_9613091,Use of Force,AA2,20220305,Physical Force-Restraint,Passive Resistance,,Female,White,Within Policy,Closed,
335,334,RR-0000106,subject_9613050,Use of Force,AC1,20220306,Physical Force-Restraint,Passive Resistance,,Female,Black,Within Policy,Closed,
336,335,RR-0000107,subject_9613052,Use of Force,AB3,20220306,Physical Force-Restraint,Passive Resistance,,Female,White,Within Policy,Closed,
337,336,RR-0000112,subject_9613054,Use of Force,AB4,20220306,Physical Force,Active Resistance,,Female,White,Within Policy,Closed,Subject Injured-Treated at Hospital
338,337,RR-0000131,subject_9612782,Use of Force,AB3,20220306,Physical Force,Passive Resistance,,Male,White,Within Policy,Closed,
339,338,RR-0000132,subject_9612924,Use of Force,AB3,20220306,Physical Force-Restraint,Passive Resistance,,Male,White,Within Policy,Closed,
340,339,RR-0000107,subject_9613052,Use of Force,AB3,20220306,Physical Force-Restraint,Passive Resistance,,Female,White,Within Policy,Closed,
341,340,RR-0000108,subject_9613114,Use of Force,AB1,20220307,Physical Force,Aggressive Resistance,,Male,White,Within Policy,Closed,
342,341,RR-0000110,subject_9613062,Use of Force,AD1,20220307,Physical Force-Restraint,Active Resistance,,Female,White,Within Policy,Closed,Subject Injured-Treated at Hospital
343,342,RR-0000111,subject_9613063,Use of Force,AB1,20220307,Physical Force-Restraint,Active Resistance,,Male,Black,Within Policy,Closed,
344,343,RR-0000113,subject_9613055,Use of Force,AC1,20220311,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Closed,
345,344,RR-0000114,subject_9613058,Use of Force,AA1,20220312,Physical Force-Restraint,Active Resistance,,Female,White,Within Policy,Closed,
346,345,RR-0000115,subject_9613061,Use of Force,AB3,20220314,Physical Force,Active Resistance,,Male,White,Within Policy,Closed,
347,346,RR-0000117,subject_9613060,Use of Force,AA3,20220314,Physical Force-Restraint,Passive Resistance,,Male,White,Within Policy,Closed,
348,347,RR-0000115,subject_9613061,Use of Force,AB3,20220314,Physical Force,Active Resistance,,Female,White,Within Policy,Closed,
349,348,RR-0000116,subject_961351,Use of Force,AB4,20220316,Physical Force-Restraint,Other,,Male,Black,Within Policy,Closed,
350,349,RR-0000118,subject_9613075,Use of Force,AB4,20220316,Physical Force-Restraint,Aggressive Resistance,,Female,White,Within Policy,Closed,
351,350,RR-0000119,subject_9612315,Use of Force,AA4,20220317,Physical Force,Passive Resistance,,Male,Black,Within Policy,Closed,
352,351,RR-0000125,subject_9613064,Use of Force,AB3,20220318,Physical Force-Restraint,Passive Resistance,,Male,Black,Within Policy,Closed,
353,352,RR-0000121,subject_9612200,Use of Force,AA1,20220319,Taser Deployment,Active Resistance,,Male,White,Within Policy,Closed,Subject Injured
354,353,RR-0000122,subject_9612801,Use of Force,AC1,20220320,Physical Force-Restraint,Passive Resistance,,Male,White,Within Policy,Closed,Subject Injured-Treated at Hospital
355,354,RR-0000124,subject_9613074,Use of Force,AD3,20220321,Physical Force-Restraint,Aggressive Resistance,,Male,Black,Within Policy,Closed,Subject Injured-Treated at Hospital
356,355,RR-0000126,subject_961934,Use of Force,AB2,20220324,Physical Force,Assaultive Resistance,,Male,White,Within Policy,Closed,Subject Injured
357,356,RR-0000128,subject_9613079,Use of Force,AD1,20220324,Physical Force-Restraint,Assaultive Resistance,,Male,White,Within Policy,Closed,Subject Injured
358,357,RR-0000129,subject_9613083,Use of Force,AA3,20220324,Physical Force-Restraint,Active Resistance,,Male,Black,Within Policy,Closed,
359,358,RR-0000129,subject_9613083,Use of Force,AA3,20220324,Physical Force-Restraint,Active Resistance,,Male,Black,Within Policy,Closed,
360,359,RR-0000130,subject_9613081,Use of Force,AB3,20220326,Physical Force-Restraint,Active Resistance,,Female,Black,Within Policy,Closed,
361,360,RR-0000135,subject_9613115,Use of Force,AA4,20220328,Taser Deployment,Assaultive Resistance,,White,Black,Within Policy,Closed,
362,361,RR-0000136,subject_9612512,Use of Force,AB4,20220328,Physical Force-Restraint,Assaultive Resistance,,Male,White,Within Policy,Closed,
363,362,RR-0000133,subject_9611283,Use of Force,AC1,20220330,Physical Force-Restraint,Assaultive Resistance,,Male,White,Within Policy,Closed,Subject Injured
364,363,RR-0000134,subject_9613093,Use of Force,AD1,20220330,Physical Force-Restraint,Other,,Female,White,Within Policy,Closed,Subject Injured
365,364,RR-0000139,subject_9612419,Use of Force,AB2,20220401,Physical Force-Restraint,Passive Resistance,,Male,Black,Within Policy,Closed,Subject Injured-Treated at Hospital
366,365,RR-0000141,subject_9613085,Use of Force,AB3,20220401,Taser Deployment,Passive Resistance,,Male,White,Within Policy,Closed,Subject Injured-Treated at Hospital
367,366,RR-0000149,subject_96150,Use of Force,AA4,20220401,Taser Deployment,Active Resistance,,Male,Black,Within Policy,Closed,Subject Injured
368,367,RR-0000155,subject_9613171,Use of Force,AC2,20220401,Physical Force-Restraint,Active Resistance,,Male,Black,Within Policy,Closed,
369,368,RR-0000158,subject_9613171,Use of Force,AC2,20220401,Physical Force-Restraint,Passive Resistance,,Male,Black,Within Policy,Closed,Subject Injured
370,369,RR-0000142,subject_9613086,Use of Force,AC1,20220402,Physical Force-Restraint,Active Resistance,,Female,White,Within Policy,Closed,
371,370,RR-0000140,subject_9612752,Use of Force,AD2,20220402,Physical Force-Restraint,Passive Resistance,,Male,White,Within Policy,Closed,
372,371,RR-0000143,subject_9613088,Use of Force,AB4,20220403,Physical Force-Restraint,Assaultive Resistance,,Male,Black,Within Policy,Closed,
373,372,RR-0000144,subject_9613089,Use of Force,AB3,20220403,Physical Force-Restraint,Active Resistance,,Male,Black,Within Policy,Closed,
374,373,RR-0000146,subject_9613095,Use of Force,AD3,20220405,Physical Force-Restraint,Assaultive Resistance,,Female,Black,Within Policy,Closed,Subject Injured-Treated at Hospital
375,374,RR-0000150,subject_9613101,Use of Force,AB1,20220408,Physical Force-Restraint,Aggressive Resistance,,Female,Black,Within Policy,Closed,
376,375,RR-0000152,subject_9613111,Use of Force,AB2,20220412,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Closed,Subject Injured-Treated at Hospital
377,376,RR-0000153,subject_9613106,Use of Force,AB3,20220412,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Closed,
378,377,RR-0000159,subject_9613107,Use of Force,AB4,20220414,Physical Force-Restraint,Active Resistance,,Male,Other,Within Policy,Closed,Subject Injured
379,378,RR-0000157,subject_9611017,Use of Force,AB4,20220416,Physical Force-Restraint,Assaultive Resistance,,Female,White,Within Policy ,Closed,
380,379,RR-0000161,subject_9613127,Use of Force,AD4,20220421,Physical Force-Restraint,Active Resistance,,Female,White,Within Policy,Closed,Subject Injured-Treated at Hospital
381,380,RR-0000160,subject_9613122,Use of Force,AB4,20220421,Physical Force-Restraint,Passive Resistance,,Male,White,Within Policy,Closed,
382,381,RR-0000162,subject_9613132,Use of Force,AB1,20220424,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Closed,Subject Injured
383,382,RR-0000169,subject_9611974,Use of Force,AC2,20220424,Physical Force-Restraint,Active Resistance,,Male,Black,Within Policy,Closed,
384,383,RR-0000163,subject_9613128,Use of Force,AA4,20220425,Physical Force-Restraint,Aggressive Resistance,,Male,White,Within Policy,Closed,Subject Injured-Treated at Hospital
385,384,RR-0000164,subject_9613129,Use of Force,AA4,20220425,Physical Force-Restraint,Passive Resistance,,Male,American Indian,Within Policy,Closed,Subject Injured-Treated at Hospital
386,385,RR-0000165,subject_9613130,Use of Force,AA4,20220426,Physical Force-Restraint,Passive Resistance,Officer Injured,Male,White,Within Policy,Closed,Subject Injured-Treated at Hospital
387,386,RR-0000167,subject_9612966,Use of Force,AA1,20220427,Physical Force-Restraint,Active Resistance,,Male,Black,Within Policy,Closed,
388,387,RR-0000170,subject_9613139,Use of Force,AD1,20220428,Physical Force-Restraint,Passive Resistance,,Male,Black,Within Policy,Closed,
