Incident Number,Date,Hour,Location (Zipcode),Initial Service Type,Incident Type,Force Type,Citizen Arrested,Citizen Sent to Hospital,Citizen Injured,Citizen Death,Citizen Injury Types,Officer Sent to Hospital,Officer Injured,Allegations and Findings,Citizen Demographics,Officer Demographics
23979,09/03/2019,1,23504,Officer Initiated Event,Use of force,Empty/Soft Hand Control,Yes,No,Yes,No,,No,No,,"(Black, Male, 17)","(White, Male, 29, 1); (Unknown, Unknown, , 4)"
23982,09/02/2019,13,23523,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unfounded); (Excessive Force, Exonerated); (Excessive Force, Exonerated); (Excessive Force, Exonerated)",,"(White, Male, 26, 3); (White, Male, 38, 16); (Black, Male, 29, 7); (, , 25, 1)"
23987,09/03/2019,13,23505,Officer Initiated Event,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 18)","(White, Male, 28, 5); (Unknown, Male, 34, 6)"
23988,09/03/2019,10,23504,Psychiatric,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact., TARP",Yes,Yes,No,No,Other Injury/Condition,No,No,,"(Black, Male, 35)","(White, Male, 26, 2); (White, Male, 23, 0); (Black, Female, 28, 3); (Asian, Male, 34, 9)"
23995,08/31/2019,16,23503,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unfounded)",,"(White, Male, 39, 15)"
24002,09/05/2019,11,23503,Follow-up Investigation,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 28)","(White, Male, 25, 2); (White, Male, 26, 1); (White, Male, 30, 8); (White, Male, 33, 9); (White, Male, 32, 11)"
24003,09/01/2019,3,23513,,Citizen Complaint,,No,No,No,No,,No,No,"(Policy Violation: Police Officer's Manual, Unfounded); (Fail to Provide Police Services, Exonerated)",,"(White, Male, 28, 1)"
24007,09/06/2019,16,23504,Trespassing,Use of force,Hard Hand Control Tact.,Yes,Yes,No,No,,No,No,,"(Black, Male, 51)","(White, Male, 29, 6)"
24008,09/04/2019,1,23455,Assault/Disorderly Subj,Use of force,"Empty/Soft Hand Control, TARP",Yes,Yes,No,No,Other Injury/Condition,No,No,,"(Black, Male, 48)","(White, Male, 24, 2); (White, Female, 29, 5)"
24009,09/07/2019,3,23508,Narcotics,Use of force,"Empty/Soft Hand Control, OC Spray",Yes,No,No,No,,No,No,,"(Black, Male, 27)","(White, Male, 36, 13); (Asian, Male, 39, 15)"
24020,09/08/2019,10,23505,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,,No,No,,"(White, Male, 32)","(White, Male, 46, 7); (White, Female, 42, 13)"
24021,09/08/2019,11,23507,Domestic Disturbance,Use of force,Hard Hand Control Tact.,Yes,Yes,No,No,,No,No,,"(Black, Male, 43)","(Black, Male, 54, 18)"
24023,08/20/2019,9,,,Citizen Complaint,,No,No,No,No,,No,No,"(Fail to Provide Police Services, Unfounded); (Fail to Provide Police Services, Unsubstantiated); (Fail to Provide Police Services, Unfounded); (Fail to Provide Police Services, Unfounded); (Biased Based Policing, Unfounded); (Biased Based Policing, Unfounded); (Biased Based Policing, Unfounded)",,"(White, Male, 25, 2); (White, Male, 23, 1); (White, Male, 48, 12); (Hispanic, Male, 47, 23)"
24024,08/30/2019,16,23502,,Citizen Complaint,,No,No,No,No,,No,No,"(Fail to Provide Police Services, Substantiated)",,"(White, Male, 22, 1)"
24025,09/09/2019,9,23503,Other,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(White, Male, 21)","(White, Male, 38, 11)"
24032,09/03/2019,8,23513,,Citizen Complaint,,No,No,No,No,,No,No,"(Excessive Force, Exonerated); (Excessive Force, Exonerated)",,"(White, Male, 31, 3); (Asian, Male, 28, 1)"
24035,09/10/2019,15,23505,Violent Felony,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,Yes,,"(Black, Male, 32)","(White, Male, 28, 1); (White, Male, 28, 2); (White, Male, 27, 5); (White, Male, 30, 6); (White, Male, 31, 4); (Black, Male, 44, 11)"
24037,09/10/2019,23,23504,Domestic Disturbance,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 55)","(White, Male, 29, 2); (Black, Male, 44, 22)"
24042,09/11/2019,13,23502,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,No,No,No,No,,No,No,,"(Black, Male, 16)","(Black, Male, 29, 1)"
24043,09/11/2019,11,23502,Service Call,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,Yes,,"(Black, Male, 41)","(White, Male, 26, 4)"
24044,09/11/2019,13,23502,Psychiatric,Use of force,Empty/Soft Hand Control,No,Yes,No,No,,Yes,Yes,,"(Black, Male, 16)","(White, Male, 28, 4); (Black, Male, 33, 4)"
24046,09/11/2019,17,23509,Psychiatric,Use of force,Empty/Soft Hand Control,No,Yes,No,No,,No,No,,"(Black, Male, 10)","(White, Male, 24, 1); (White, Male, 53, 11); (Unknown, Unknown, 42, 4)"
24047,09/11/2019,19,23503,Person w/ Weapon,Use of force,Hard Hand Control Tact.,Yes,Yes,No,No,Other Injury/Condition,No,No,,"(White, Male, 24)","(White, Male, 27, 3)"
24058,09/12/2019,6,23502,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Exonerated); (Fail to Provide Police Services, Exonerated)",,"(White, Male, 51, 11)"
24061,09/11/2019,12,,,Citizen Complaint,,No,No,No,No,,No,No,"(Excessive Force, Exonerated); (Excessive Force, Exonerated)",,"(White, Male, 28, 4); (Black, Male, 33, 4)"
24062,09/12/2019,21,23513,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 32)","(White, Male, 25, 2); (White, Male, 36, 4)"
24065,09/07/2019,21,23464,,Citizen Complaint,,No,No,No,No,,No,No,"(Policy Violation: Police Officer's Manual, Unsubstantiated); (Excessive Force, Unsubstantiated); (Policy Violation: Special Order, Substantiated)",,"(Black, Male, 44, 22); (Black, Male, 41, 14)"
24092,09/13/2019,21,23513,Other,Use of force,Empty/Soft Hand Control,No,No,No,No,,No,No,,"(Black, Male, 16)","(White, Male, 21, 0)"
24098,09/13/2019,20,23504,Suspicious Situation,Use of force,ECW,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 31)","(White, Female, 34, 1); (Black, Female, 28, 3)"
24100,09/13/2019,20,23513,Assault/Disorderly Subj,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact., OC Spray",Yes,No,No,No,,No,No,,"(Black, Male, 17); (Black, Male, 17); (Black, Male, 16); (Black, Male, 15); (Black, Female, 15); (Black, Female, 18)","(White, Male, 25, 2); (White, Male, 31, 3); (White, Male, 36, 4); (White, Male, 22, 0); (White, Male, 37, 13); (White, Male, 36, 14); (White, Female, 24, 3); (Black, Male, 44, 22); (Black, Male, 56, 22); (Unknown, Male, 41, 5); (Asian, Male, 50, 10)"
24103,09/15/2019,0,23523,Suspicious Situation,Use of force,"Empty/Soft Hand Control, OC Spray, Baton/Impact Weapon",Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 19)","(Black, Male, 29, 7); (Black, Male, 25, 3)"
24105,09/15/2019,1,23510,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Unknown, Male, 26)","(White, Male, 25, 3); (White, Male, 34, 13); (White, Male, 38, 11)"
24108,09/14/2019,22,23504,Service Call,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Female, 26)","(White, Male, 25, 0); (Black, Male, 54, 27); (Black, Male, 25, 1); (Black, Male, 28, 1)"
24111,09/15/2019,1,23510,Officer Initiated Event,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 20)","(White, Male, 25, 3); (White, Male, 57, 34)"
24112,09/14/2019,21,23504,Traffic Stop,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 32)","(White, Male, 29, 3)"
24114,09/15/2019,21,23320,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unsubstantiated); (Policy Violation: Police Officer's Manual, Unsubstantiated); (Policy Violation: Police Officer's Manual, Substantiated)",,"(Asian, Male, 46, 17)"
24126,08/04/2019,0,23518,Domestic Disturbance,Use of force,"Empty/Soft Hand Control, OC Spray",Yes,No,No,No,,No,No,,"(Black, Male, 26)","(White, Male, 61, 22); (White, Female, 57, 15)"
24127,09/06/2019,22,,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unsubstantiated); (Policy Violation: Police Officer's Manual, Unfounded); (Policy Violation: Police Officer's Manual, Exonerated)",,"(Black, Male, 25, 2)"
24130,09/17/2019,16,23513,Psychiatric,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact.",No,Yes,No,No,,No,No,,"(, Male, 28)","(White, Male, 38, 3); (White, Male, 28, 8)"
24141,09/13/2019,20,23502,Assault/Disorderly Subj,Use of force,"Empty/Soft Hand Control, OC Spray",No,No,No,No,,No,No,,"(Black, Female, )","(White, Male, 52, 24); (White, Male, 39, 18); (White, Male, 51, 17); (White, Male, 37, 13)"
24143,09/19/2019,23,23502,Accident Investigation,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,,No,No,,"(Black, Male, 51)","(White, Male, 22, 1); (Black, Male, 21, 1)"
24144,09/20/2019,11,23523,Trespassing,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 19)","(Black, Male, 29, 7)"
24149,09/20/2019,22,23551,Prisoner Transport,Use of force,TARP,Yes,Yes,No,No,,No,No,,"(White, Female, 20)","(White, Male, 41, 13); (Black, Female, 52, 11)"
24150,09/21/2019,1,23502,Assault/Disorderly Subj,Use of force,OC Spray,Yes,No,No,No,,No,No,,"(Black, Male, 23)","(White, Male, 42, 12); (Black, Male, 54, 14)"
24154,09/22/2019,14,23503,Non-Violent Felony,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,,No,No,,"(White, Female, 18)","(White, Male, 26, 3); (White, Female, 29, 5)"
24161,09/23/2019,14,23513,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Female, 18)","(White, Male, 28, 5); (White, Female, 26, 2)"
24162,09/23/2019,14,23513,Assault/Disorderly Subj,Use of force,OC Spray,Yes,No,No,No,,No,No,,"(Black, Female, 16); (Black, Female, 17); (Black, Female, 22); (Black, Female, 25)","(Black, Male, 46, 20)"
24163,09/23/2019,17,23503,Service Call,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 22)","(White, Male, 30, 2); (White, Female, 26, 3)"
24176,09/25/2019,0,23508,Psychiatric,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 30)","(White, Male, 34, 6); (White, Male, 39, 17); (Black, Male, 33, 7); (Asian, Male, 43, 15)"
24181,09/25/2019,8,23513,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unfounded); (Courtesy, Unfounded); (Fail to Provide Police Services, Unfounded); (Fail to Provide Police Services, Unfounded)",,"(White, Female, 29, 5); (Hispanic, Male, 47, 23)"
24183,09/25/2019,15,23502,Psychiatric,Use of force,Empty/Soft Hand Control,No,Yes,No,No,,No,No,,"(Black, Male, 20)","(White, Male, 34, 9); (Black, Male, 44, 22)"
24184,09/25/2019,23,23518,Domestic Disturbance,Use of force,Hard Hand Control Tact.,Yes,No,No,No,,No,Yes,,"(Hispanic, Male, 32)","(Black, Male, 33, 11); (Black, Male, 54, 18)"
24186,09/26/2019,4,23518,Pursuit,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 14)","(Asian, Male, 28, 1)"
24187,09/25/2019,22,23504,Assault/Disorderly Subj,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact.",Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 53)","(White, Male, 29, 2); (White, Male, 42, 12)"
24188,08/22/2019,16,23523,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Substantiated); (Excessive Force, Substantiated); (Civil Rights Violation, Substantiated); (Failure to Activate BWC, Substantiated); (Civil Rights Violation, Substantiated)",,"(Black, Male, 40, 1)"
24204,09/27/2019,22,23503,Officer Initiated Event,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,Other Injury/Condition,No,No,,"(Black, Male, 25)","(White, Male, 26, 3); (White, Male, 35, 10); (Black, Male, 29, 7)"
24205,09/27/2019,23,23502,Assault/Disorderly Subj,Use of force,"Empty/Soft Hand Control, OC Spray",Yes,No,No,No,,No,No,,"(Black, Male, 26)","(White, Male, 38, 11)"
24207,09/28/2019,15,23513,Assault/Disorderly Subj,Use of force,"Empty/Soft Hand Control, TARP",Yes,No,No,No,,No,No,,"(Black, Male, 19)","(White, Male, 35, 15); (Black, Male, 51, 23); (Asian, Male, 39, 16)"
24208,09/27/2019,19,23518,Psychiatric,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact.",Yes,Yes,No,No,Other Injury/Condition,No,No,,"(Black, Female, 26)","(White, Male, 25, 2); (White, Male, 26, 1); (White, Male, 41, 3); (White, Male, 52, 24)"
24216,09/29/2019,1,23510,Service Call,Use of force,,Yes,No,No,No,,No,No,,"(White, Male, 22)","(White, Male, 34, 13)"
24223,09/30/2019,0,23504,Person w/ Weapon,Use of force,Canine,Yes,Yes,Yes,No,Canine Bite,No,No,,"(Black, Male, 30)","(White, Male, 33, 7); (White, Male, 28, 4); (White, Male, 22, 1); (White, Female, 34, 1); (Black, Male, 29, 5)"
24227,09/27/2019,,,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unfounded); (Courtesy, Substantiated); (Courtesy, Substantiated); (Policy Violation: Police Officer's Manual, Substantiated); (Excessive Force, Exonerated); (Biased Based Policing, Unfounded); (Biased Based Policing, Unfounded); (Biased Based Policing, Unfounded); (Policy Violation: General Order - Operational, Substantiated); (Failure to Activate BWC, Substantiated); (Policy Violation: General Order - Operational, Substantiated)",,"(White, Male, 30, 6); (White, Male, 44, 11); (Black, Male, 32, 6); (Asian, Male, 48, 23); (, , , 5)"
24231,09/30/2019,11,23523,Domestic Disturbance,Use of force,ECW,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Female, 24)","(Black, Male, 33, 4)"
24248,09/30/2019,13,23502,Psychiatric,Use of force,"Empty/Soft Hand Control, ECW",No,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 44)","(White, Male, 38, 3); (Black, Male, 33, 4)"
24255,09/30/2019,,23502,Other,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unsubstantiated); (Courtesy, Unsubstantiated)",,"(White, Male, 52, 21); (White, Male, 61, 22)"
24265,10/01/2019,13,23508,Other,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,Yes,,"(Black, Male, 49)","(White, Female, 29, 7); (Black, Male, 42, 13)"
24266,09/23/2019,9,23510,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unsubstantiated); (Failure to Activate BWC, Substantiated); (Failure to Activate BWC, Substantiated)",,"(White, Male, 38, 15); (White, Female, 49, 24)"
24268,10/02/2019,15,23507,Psychiatric,Use of force,Empty/Soft Hand Control,No,Yes,Yes,No,Other Injury/Condition,No,No,,"(White, Female, 17)","(White, Male, 25, 3); (White, Female, 31, 4)"
24276,10/01/2019,,,,Citizen Complaint,,Yes,No,No,No,,No,No,"(Policy Violation: Police Officer's Manual, Unfounded); (Policy Violation: General Order - Administrative, Unfounded)",,"(Black, Male, 45, 13)"
24280,10/03/2019,12,23505,Traffic Stop,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Female, 24)","(White, Male, 42, 18); (Unknown, Unknown, , 5)"
24286,10/03/2019,12,23457,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unfounded); (Policy Violation: Police Officer's Manual, Substantiated)",,"(White, Male, 28, 8)"
24287,10/04/2019,9,23510,Service Call,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,Other Injury/Condition,No,No,,"(White, Male, 43)","(Black, Male, 29, 1)"
24288,09/05/2019,23,23504,Traffic Stop,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unsubstantiated); (Failure to Activate BWC, Substantiated)",,"(White, Male, 38, 3)"
24290,10/05/2019,0,23504,Officer Initiated Event,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,,No,No,,"(Black, Male, 21)","(Unknown, Unknown, 26, 1); (Asian, Male, 34, 9)"
24301,10/06/2019,9,23502,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(White, Male, 45)","(White, Male, 38, 3); (White, Male, 28, 4); (White, Male, 34, 9); (White, Male, 44, 11); (Black, Male, 44, 22)"
24327,09/28/2019,5,23509,,Citizen Complaint,,No,No,No,No,,No,No,"(Biased Based Policing, Unfounded); (Biased Based Policing, Unfounded)",,"(White, Male, 34, 5); (White, Male, 24, )"
24333,10/10/2019,21,23504,Non-Violent Felony,Use of force,,Yes,Yes,No,No,,No,No,,"(Black, Male, 52)","(White, Male, 22, 0); (Unknown, Unknown, 42, 4)"
24342,10/12/2019,11,23503,Psychiatric,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact., TARP",Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(White, Female, 42)","(White, Male, 23, 1); (Black, Male, 39, 1)"
24344,10/12/2019,23,23510,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Unknown, Male, 23)","(White, Male, 26, 3); (White, Male, 30, 6); (White, Male, 38, 11); (White, Male, 57, 34)"
24349,10/14/2019,1,23507,Service Call,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact.",Yes,Yes,No,No,,No,No,,"(Black, Male, 47)","(White, Male, 28, 6); (White, Male, 30, 6); (White, Male, 39, 14)"
24350,10/13/2019,23,23518,Violent Felony,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 38)","(White, Male, 33, 6); (White, Male, 48, 26); (Black, Male, 51, 1); (Unknown, Male, 34, 6)"
24351,10/12/2019,1,23510,Suspicious Situation,Use of force,Hard Hand Control Tact.,No,No,No,No,,No,No,,"(Black, Male, )","(Black, Male, 55, 21)"
24352,10/06/2019,18,23507,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unsubstantiated); (Policy Violation: Police Officer's Manual, Unsubstantiated)",,"(White, Male, 38, 13)"
24353,10/14/2019,11,23513,Other,Use of force,ECW,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 27)","(White, Male, 28, 2)"
24356,10/14/2019,21,23510,Service Call,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Female, 30)","(White, Male, 28, 4); (White, Male, 38, 10)"
24362,10/15/2019,10,23507,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unfounded); (Fail to Provide Police Services, Unfounded)",,"(White, Male, 26, 4)"
24363,09/13/2019,11,,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unsubstantiated); (Policy Violation: Police Officer's Manual, Exonerated); (Policy Violation: Police Officer's Manual, Exonerated); (Civil Rights Violation, Exonerated)",,"(White, Male, 28, 5); (White, Male, 37, 13); (White, Male, 35, 10); (White, Male, 50, 24)"
24368,10/15/2019,20,23502,Service Call,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 19)","(White, Male, 34, 9); (Unknown, Female, 31, 3)"
24369,10/16/2019,7,23503,Psychiatric,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,,No,No,,"(White, Male, )","(White, Male, 24, 2); (White, Male, 27, 3); (White, Male, 27, 3); (White, Male, 40, 0); (White, Male, 31, 0)"
24371,10/15/2019,16,23505,Service Call,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 53)","(White, Male, 33, 6)"
24376,10/10/2019,13,23518,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unfounded); (Excessive Force, Unfounded); (Civil Rights Violation, Exonerated)",,"(White, Male, 28, 2)"
24381,10/16/2019,9,23504,Traffic Stop,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 58)","(White, Male, 26, 2); (Black, Female, 28, 3)"
24382,10/16/2019,20,23504,Officer Initiated Event,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 44)","(White, Male, 29, 2); (Black, Male, 44, 22)"
24384,10/10/2019,22,23504,,Citizen Complaint,,No,No,No,No,,No,No,"(Civil Rights Violation, Exonerated)",,"(White, Male, 34, 11); (White, Male, 26, 2); (White, Male, 26, 3); (White, Male, 38, 17); (Black, Female, 28, 3); (Black, Male, 25, 2)"
24386,10/17/2019,9,23505,Officer Initiated Event,Use of force,Empty/Soft Hand Control,No,Yes,Yes,No,Other Injury/Condition,No,No,,"(White, Male, 67)","(White, Male, 29, 6)"
24395,10/17/2019,17,23502,Violent Felony,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 41)","(White, Male, 30, 5)"
24396,10/17/2019,19,23504,Officer Initiated Event,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Female, 33)","(Black, Male, 39, 13)"
24403,10/18/2019,14,23505,Traffic Stop,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unfounded); (Civil Rights Violation, Exonerated)",,"(White, Male, 27, 3)"
24405,10/19/2019,19,23502,Violent Felony,Use of force,"Empty/Soft Hand Control, TARP",No,No,No,No,,No,Yes,,"(Black, Male, 14)","(White, Male, 38, 3); (White, Male, 28, 4); (Black, Male, 44, 23); (Unknown, Female, 31, 3)"
24406,10/19/2019,23,23502,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,,No,No,,"(Black, Male, 29); (Black, Female, 24)","(White, Male, 38, 3); (White, Male, 34, 9); (White, Male, 57, 30)"
24411,10/19/2019,1,23523,Other,Use of force,Empty/Soft Hand Control,No,No,No,No,,No,No,,"(, Male, )","(White, Male, 31, 0); (White, Male, 29, 3); (White, Male, 28, 2)"
24421,10/16/2019,9,23513,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Exonerated)",,"(Black, Male, 39, 14)"
24423,10/21/2019,12,23518,Psychiatric,Use of force,Empty/Soft Hand Control,No,Yes,No,No,,No,Yes,,"(Black, Male, 36)","(White, Male, 39, 4); (Black, Male, 39, 1)"
24426,10/21/2019,13,23502,Suspicious Situation,Use of force,"Empty/Soft Hand Control, ECW",Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(White, Male, 19)","(White, Male, 22, 1); (White, Male, 25, 3)"
24427,10/18/2019,,23510,,Citizen Complaint,,No,No,No,No,,No,No,"(Policy Violation: Police Officer's Manual, Substantiated); (Policy Violation: General Order - Operational, Unsubstantiated)",,"(White, Male, 35, 10); (White, Male, 41, 12); (White, Male, 34, 11)"
24435,10/22/2019,12,,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Exonerated); (Policy Violation: Police Officer's Manual, Unfounded)",,"(Black, Male, 49, 17)"
24443,10/23/2019,14,23502,Narcotics,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,Yes,,"(Black, Male, 37)","(White, Male, 34, 8); (White, Male, 44, 11); (Asian, Male, 49, 23)"
24444,10/22/2019,22,23504,Officer Initiated Event,Use of force,Empty/Soft Hand Control,No,No,No,No,,No,No,,"(Black, Male, 19)","(White, Male, 26, 3); (Black, Male, 25, 3)"
24448,10/23/2019,,23504,,Citizen Complaint,,No,No,No,No,,No,No,"(Harassment, Exonerated)",,"(Black, Male, 25, 3)"
24452,10/24/2019,10,23513,Officer Initiated Event,Use of force,Hard Hand Control Tact.,Yes,No,No,No,,No,No,,"(Black, Male, 25)","(White, Male, 29, 2); (White, Male, 27, 5); (White, Male, 29, 6)"
24459,10/26/2019,1,23510,Person w/ Weapon,Use of force,Hard Hand Control Tact.,Yes,No,No,No,,No,No,,"(Black, Male, 25)","(White, Male, 30, 6)"
24460,10/12/2019,10,23504,Suspicious Situation,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,,No,No,,"(Black, Male, 60)","(White, Male, 26, 0); (Unknown, Male, 38, 6)"
24461,10/26/2019,15,23502,Service Call,Use of force,"Empty/Soft Hand Control, TARP, ECW",No,Yes,No,No,,No,No,,"(White, Male, 37)","(White, Male, 75, 2); (White, Male, 26, 2); (White, Male, 22, 1); (White, Male, 35, 7); (White, Male, 28, 0); (Black, Male, 26, 0)"
24462,10/26/2019,20,23508,Service Call,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Female, 13)","(White, Male, 31, 4); (White, Male, 28, 5)"
24463,10/26/2019,21,23523,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,Other Injury/Condition,No,No,,"(Black, Male, 21)","(White, Male, 23, 2); (White, Male, 25, 4); (White, Male, 32, 7); (White, Male, 29, 6)"
24482,10/27/2019,2,,Assault/Disorderly Subj,Citizen Complaint,,No,No,No,No,,No,No,"(Policy Violation: Police Officer's Manual, Unsubstantiated); (Policy Violation: Police Officer's Manual, Substantiated); (Excessive Force, Exonerated); (Excessive Force, Exonerated); (Excessive Force, Unfounded); (Policy Violation: General Order - Operational, Unfounded); (Policy Violation: General Order - Operational, Substantiated)",,"(White, Male, 29, 1); (White, Male, 30, 6); (White, Male, 41, 14); (White, Female, 24, 3)"
24488,10/26/2019,11,23505,,Citizen Complaint,,No,No,No,No,,No,No,"(Fail to Provide Police Services, Unfounded)",,"(Black, Male, 59, 19)"
24489,10/26/2019,,23502,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Substantiated)",,"(Black, Male, 57, 29)"
24497,10/29/2019,19,23505,Narcotics,Use of force,Hard Hand Control Tact.,Yes,No,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 18)","(White, Male, 29, 2); (White, Male, 28, 2); (White, Male, 30, 4); (White, Male, 29, 6); (White, Male, 34, 10)"
24514,10/26/2019,,,,Citizen Complaint,,No,No,No,No,,No,No,"(Policy Violation: Police Officer's Manual, Substantiated); (Policy Violation: Police Officer's Manual, Substantiated); (Policy Violation: General Order - Administrative, Substantiated)",,"(White, Male, 29, 3)"
24515,10/30/2019,9,23513,Domestic Disturbance,Use of force,"Empty/Soft Hand Control, TARP",Yes,Yes,Yes,No,,No,Yes,,"(Black, Female, 28)","(White, Male, 30, 7); (White, Male, 26, 0); (White, Female, 26, 2); (Unknown, Unknown, , )"
24522,10/31/2019,20,23513,Assault/Disorderly Subj,Use of force,"Empty/Soft Hand Control, OC Spray",Yes,No,No,No,,No,No,,"(Black, Female, 17)","(White, Male, 38, 13)"
24539,11/01/2019,14,23504,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,Yes,,"(Black, Male, 49)","(Unknown, Unknown, 26, 1)"
24540,11/01/2019,16,23513,Psychiatric,Use of force,Empty/Soft Hand Control,No,Yes,No,No,,No,No,,"(Black, Male, 16)","(White, Male, 31, 3); (White, Male, 28, 6); (White, Male, 41, 12); (Unknown, Male, 28, 2)"
