Blunt Object,Category of Force Event - Measured at Event Level,Disposition/Custody,DOW,Firearm,Firearm - Implied,Firearm - Replica,Force Applied - 1,Force Applied - 2,Force Applied - 3,Force Applied - 4,Force Applied - 5,Force Applied - 6,Force Applied - 7,Force Applied - 8,Hour (6Hr),Initial Call Category,Initial Call type,Knife / Edged Weapon / Stabbing Instrument,"Mental Health Crisis - Prior to Force, Perceived Lack of Compliance",Month,Needle / Spit / Bodily Fluids,No weapon (unarmed),Officer,Officer Precinct,Officer Tenure,Other Weapon,Record ID,Subject,Subject - Race,Subject - Sex,Subject - Transient,Subject Age,Subject Instance,Subject Resistance - 1,Subject Resistance - 2,Subject Resistance - 3,Subject Resistance - 4,Subject Resistance - 5,Subject Resistance - 6,Subject Resistance - 7,Subject Resistance - 8,Type of Call,"Under the Influence of Alcohol - Prior to Force, Perceived Condition","Under the Influence of Drugs - Prior to Force, Perceived Condition",Weapon Present or reported but not used or threatened use,Year,Record Count,Record Count
,III,Release to Medical,Tuesday,,,,Control Against Resistance,,,,,,,,1200-1759,Disturbance,DISTURBANCE - WITH WEAPON *H,,Yes,September,,,1108351,Central Precinct,3,,622558174,507396,White,Male,Yes,35,623065570,Active,,,,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2021,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,,,,,,,,1200-1759,Disturbance,DISTURBANCE - WITH WEAPON *H,,Yes,September,,,193360,Central Precinct,13,,622558174,507396,White,Male,Yes,35,623065570,Active,,,,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2021,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,,,,,,,,1200-1759,Suspicious,SUSPICIOUS - PRIORITY,,,September,,No weapon (unarmed),554499,East Precinct,25,,337548371,584240,White,Male,No,27,338132611,Aggressive,,,,,,,,Dispatched,,Yes,,2020,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,,,,,,,,1800-2359,Behavioral Health,ECIT,,Yes,September,,No weapon (unarmed),698511,EAST,14,,998578017,4346148,White,Male,No,27,1002924165,Active,,,,,,,,Dispatched,,,,2023,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,,,,,,,,1800-2359,Behavioral Health,ECIT,,Yes,September,,No weapon (unarmed),1035151,TRAFFIC,6,,998578017,4346148,White,Male,No,27,1002924165,Active,,,,,,,,Dispatched,,,,2023,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,,,Control Against Resistance,,,,,1200-1759,Behavioral Health,ECIT,,Yes,April,,No weapon (unarmed),462792,CENTRAL,1,,490586682,4348831,White,Male,Yes,48,494935513,Active,Active,,,,,,,Dispatched,Yes,,,2024,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,,,Control Against Resistance,,,,,1200-1759,Behavioral Health,ECIT,,Yes,April,,No weapon (unarmed),788722,CENTRAL,2,,490586682,4348831,White,Male,Yes,48,494935513,Active,Active,,,,,,,Dispatched,Yes,,,2024,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,,,Resisted HC,,,,,1800-2359,Behavioral Health,ECIT,,Yes,March,,No weapon (unarmed),685512,CENTRAL,8,,451586422,857298,White,Female,No,53,452443720,Active,Active,,,,,,,Dispatched,,,,2024,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,,,Takedown (II and III),,,,,1800-2359,Behavioral Health,ECIT,,Yes,September,,No weapon (unarmed),776021,EAST,7,,998578017,4346148,White,Male,No,27,1002924165,Active,Active,,,,,,,Dispatched,,,,2023,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,,,Takedown (II and III),,,,,1800-2359,Behavioral Health,ECIT,,Yes,September,,No weapon (unarmed),724822,TRAINING,13,,998578017,4346148,White,Male,No,27,1002924165,Active,Active,,,,,,,Dispatched,,,,2023,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,Control Against Resistance,Control Against Resistance,,,,,,0000-0559,Missing Person,MISSING - PERSON ENDANGERED,,,August,,No weapon (unarmed),1056249,East Precinct,11,,114538349,590769,White,Male,No,23,115129118,Active,Aggressive,Aggressive,,,,,,Dispatched,Yes,,,2019,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,Control Against Resistance,Control Against Resistance,Takedown (II and III),,,,,1200-1759,Disturbance,DISTURBANCE - WITH WEAPON *H,,Yes,September,,,193659,Central Precinct,25,,622558174,507396,White,Male,Yes,35,623065570,Active,Active,Active,Active,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2021,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,Control Against Resistance,Takedown (II and III),,,,,,1200-1759,Disturbance,DISTURBANCE - WITH WEAPON *H,,Yes,September,,,813721,Central Precinct,9,,622558174,507396,White,Male,Yes,35,623065570,Active,Active,Active,,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2021,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,Takedown (II and III),,,,,,,0000-0559,Welfare Check,WELFARE CHECK - PRIORITY,,,December,,No weapon (unarmed),751121,East Precinct,2,,985529867,3999225,White,Male,Yes,27,989529092,Active,Aggressive,,,,,,,Dispatched,,Yes,,2018,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,Takedown (II and III),,,,,,,0600-1159,Behavioral Health,ECIT,,Yes,March,,No weapon (unarmed),786720,North Precinct,17,,463546652,3823633,White,Female,No,26,467370285,Active,Aggressive,,,,,,,Dispatched,,,,2020,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,Takedown (II and III),,,,,,,1200-1759,Suspicious,SUSPICIOUS - PRIORITY,,,September,,No weapon (unarmed),1117448,East Precinct,25,,337548371,584240,White,Male,No,27,338132611,Aggressive,Aggressive,,,,,,,Dispatched,,Yes,,2020,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,Takedown (II and III),Control Against Resistance,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,Yes,March,,No weapon (unarmed),560900,Central Precinct,17,,971566307,622424,White,Male,No,25,972188731,Active,Active,Active,,,,,,Dispatched,,,,2022,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,Takedown (II and III),Resisted HC,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,Yes,March,,No weapon (unarmed),650810,Central Precinct,18,,971566307,622424,White,Male,No,25,972188731,Active,Active,Active,,,,,,Dispatched,,,,2022,1,1
,III,Release to Medical,Tuesday,,,,Control Against Resistance,Takedown (II and III),Resisted HC,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,Yes,March,,No weapon (unarmed),661410,TOD,8,,971566307,622424,White,Male,No,25,972188731,Active,Active,Active,,,,,,Dispatched,,,,2022,1,1
,III,Release to Medical,Tuesday,,,,PIT - VIS,,,,,,,,1800-2359,Behavioral Health,ECIT,,Yes,March,,No weapon (unarmed),233271,CENTRAL,6,,451586422,857298,White,Female,No,53,452443720,Active,,,,,,,,Dispatched,,,,2024,1,1
,III,Release to Medical,Tuesday,,,,Resisted HC,,,,,,,,0000-0559,Assault,STABBING - WITH WEAPON *H,,,February,,No weapon (unarmed),206562,EAST,2,,270576090,615942,White,Male,No,43,271192032,Active,,,,,,,,Dispatched,,,,2023,1,1
,III,Release to Medical,Tuesday,,,,Resisted HC,,,,,,,,0000-0559,Assault,STABBING - WITH WEAPON *H,,,February,,No weapon (unarmed),713512,EAST,3,,270576090,615942,White,Male,No,43,271192032,Active,,,,,,,,Dispatched,,,,2023,1,1
,III,Release to Medical,Tuesday,,,,Resisted HC,,,,,,,,0000-0559,Assist,FIRE RELATED,,,March,,No weapon (unarmed),553201,East Precinct,3,,275556380,487969,Black,Male,No,27,276044349,Active,,,,,,,,Dispatched,,Yes,,2021,1,1
,III,Release to Medical,Tuesday,,,,Resisted HC,,,,,,,,0000-0559,Assist,FIRE RELATED,,,March,,No weapon (unarmed),867330,East Precinct,13,,275556380,487969,Black,Male,No,27,276044349,Active,,,,,,,,Dispatched,,Yes,,2021,1,1
,III,Release to Medical,Tuesday,,,,Resisted HC,,,,,,,,1200-1759,Behavioral Health,ECIT,,Yes,September,,No weapon (unarmed),571001,EAST,9,,483587922,4150728,White,Female,No,49,487738650,Active,,,,,,,,Dispatched,,,,2024,1,1
,III,Release to Medical,Tuesday,,,,Resisted HC,,,,,,,,1200-1759,Behavioral Health,ECIT,,Yes,September,,No weapon (unarmed),389079,EAST,25,,483587922,4150728,White,Female,No,49,487738650,Active,,,,,,,,Dispatched,,,,2024,1,1
,III,Release to Medical,Tuesday,,,,Resisted HC,,,,,,,,1200-1759,Disturbance,DISTURBANCE - WITH WEAPON *H,,Yes,September,,,1104751,Central Precinct,8,,622558174,507396,White,Male,Yes,35,623065570,Active,,,,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2021,1,1
,III,Release to Medical,Tuesday,,,,Resisted HC,,,,,,,,1800-2359,Behavioral Health,ECIT,,Yes,March,,No weapon (unarmed),196561,CENTRAL,11,,451586422,857298,White,Female,No,53,452443720,Active,,,,,,,,Dispatched,,,,2024,1,1
,III,Release to Medical,Tuesday,,,,Resisted HC,,,Takedown (II and III),,,,,0000-0559,Assault,STABBING - WITH WEAPON *H,,,February,,No weapon (unarmed),1031451,EAST,3,,270576090,615942,White,Male,No,43,271192032,Active,Active,,,,,,,Dispatched,,,,2023,1,1
,III,Release to Medical,Tuesday,,,,Resisted HC,,Control Against Resistance,Takedown (II and III),,,,,0600-1159,Restraining Order Violation,RESTRAINING ORDER VIOLATION - PRIORITY,,Yes,February,,No weapon (unarmed),134662,CENTRAL,1,,82576028,533316,Black,Male,No,32,83109344,Active,Active,Active,,,,,,Dispatched,,,,2023,1,1
,III,Release to Medical,Tuesday,,,,Resisted HC,,Control Against Resistance,Takedown (II and III),,,,,0600-1159,Restraining Order Violation,RESTRAINING ORDER VIOLATION - PRIORITY,,Yes,February,,No weapon (unarmed),645809,CENTRAL,25,,82576028,533316,Black,Male,No,32,83109344,Active,Active,Active,,,,,,Dispatched,,,,2023,1,1
,III,Release to Medical,Tuesday,,,,Resisted HC,,Control Against Resistance,Takedown (II and III),,,,,0600-1159,Restraining Order Violation,RESTRAINING ORDER VIOLATION - PRIORITY,,Yes,February,,No weapon (unarmed),788722,TRAINING,0,,82576028,533316,Black,Male,No,32,83109344,Active,Active,Active,,,,,,Dispatched,,,,2023,1,1
,III,Release to Medical,Tuesday,,,,Resisted HC,Control Against Resistance,,,,,,,1800-2359,Disturbance,DISTURBANCE - PRIORITY,,Yes,July,,No weapon (unarmed),737821,Central Precinct,5,,208538269,132652,White,Male,Unknown,,208670921,Active,Active,,,,,,,Dispatched,,Yes,,2019,1,1
,III,Release to Medical,Tuesday,,,,Resisted HC,Control Against Resistance,,,,,,,1800-2359,Disturbance,DISTURBANCE - PRIORITY,,Yes,July,,No weapon (unarmed),753920,Central Precinct,14,,208538269,132652,White,Male,Unknown,,208670921,Active,Active,,,,,,,Dispatched,,Yes,,2019,1,1
,III,Release to Medical,Tuesday,,,,Resisted HC,Control Against Resistance,Control Against Resistance,,,,,,1200-1759,Vandalism,VANDALISM - PRIORITY,,Yes,May,,No weapon (unarmed),193659,Central Precinct,25,,30557088,1613116,White,Male,Yes,45,32170204,Aggressive,Active,Active,,,,,,Dispatched,,Yes,,2021,1,1
,III,Release to Medical,Tuesday,,,,Resisted HC,Strikes/kicks,Strikes/kicks,Strikes/kicks,,,,,0000-0559,Assist,FIRE RELATED,,,March,,No weapon (unarmed),924241,East Precinct,8,,275556380,487969,Black,Male,No,27,276044349,Active,Active,Active,Active,,,,,Dispatched,,Yes,,2021,1,1
,III,Release to Medical,Tuesday,,,,Strikes/kicks,Control Against Resistance,,,,,,,1200-1759,Disorder,911 HANGUP,,,November,,,554499,East Precinct,25,,594549053,1480022,White,Female,No,28,596029075,Aggressive,Aggressive,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2020,1,1
,III,Release to Medical,Tuesday,,,,Takedown,,,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,Yes,November,,No weapon (unarmed),185259,DVD,18,,763519355,1933194,White,Male,No,27,765452549,Active,,,,,,,,Dispatched,,,,2017,1,1
,III,Release to Medical,Tuesday,,,,Takedown (II and III),,,,,,,,0600-1159,Suspicious,SUSPICIOUS - PRIORITY,,,May,,No weapon (unarmed),646809,East Precinct,23,,888547236,1069420,White,Female,Yes,22,889616656,Active,,,,,,,,Dispatched,,Yes,,2020,1,1
,III,Release to Medical,Tuesday,,,,Takedown (II and III),Control Against Resistance,,,,,,,0000-0559,Assist,ASSIST - CITIZEN OR AGENCY,,,November,,No weapon (unarmed),1098050,North Precinct,13,,231529480,3941085,White,Female,No,34,235470565,Aggressive,Aggressive,,,,,,,Dispatched,,,,2018,1,1
,III,Release to Medical,Tuesday,,,,Takedown (II and III),Control Against Resistance,,,,,,,0600-1159,Suspicious,SUSPICIOUS - PRIORITY,,,May,,No weapon (unarmed),334481,East Precinct,11,,888547236,1069420,White,Female,Yes,22,889616656,Aggressive,Aggressive,,,,,,,Dispatched,,Yes,,2020,1,1
,III,Release to Medical,Tuesday,,,,Takedown (II and III),Control Against Resistance,Control Against Resistance,,,,,,0000-0559,Assist,ASSIST - CITIZEN OR AGENCY,,,November,,No weapon (unarmed),860631,North Precinct,9,,231529480,3941085,White,Female,No,34,235470565,Aggressive,Aggressive,Aggressive,,,,,,Dispatched,,,,2018,1,1
,III,Release to Medical,Tuesday,,,,Takedown (II and III),Resisted HC,,,,,,,1200-1759,Vandalism,VANDALISM - PRIORITY,,Yes,May,,No weapon (unarmed),501691,Central Precinct,9,,30557088,1613116,White,Male,Yes,45,32170204,Aggressive,Aggressive,,,,,,,Dispatched,,Yes,,2021,1,1
,III,Release to Medical,Tuesday,Firearm,,,Control Against Resistance,,,Resisted HC,,,,,0600-1159,Suspicious,SUSPICIOUS - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,,April,,,341381,CENTRAL,1,,733586545,195820,White,Male,No,60,733782365,Active,Active,,,,,,,Dispatched,,,,2024,1,1
,III,Release to Medical,Tuesday,Firearm,,,Control Against Resistance,CEW,Takedown (II and III),Strikes/kicks,Resisted Handcuffing,,,,0600-1159,Suspicious,SUSPICIOUS - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,,April,,,673211,CENTRAL,6,,733586545,195820,White,Male,No,60,733782365,Active,Active,Active,Active,Active,,,,Dispatched,,,,2024,1,1
,III,Release to Medical,Tuesday,Firearm,,,Control Against Resistance,Strikes/kicks,Strikes/kicks,Strikes/kicks,Takedown (II and III),Strikes/kicks,Strikes/kicks,Control Against Resistance,0600-1159,Suspicious,SUSPICIOUS - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,,April,,,341381,CENTRAL,1,,733586545,195820,White,Male,No,60,733782365,Active,Active,Active,Active,Active,Active,Active,Active,Dispatched,,,,2024,1,1
,III,Release to Medical,Tuesday,Firearm,,,Control Against Resistance,Takedown (II and III),Resisted HC,,,,,,0600-1159,Suspicious,SUSPICIOUS - WITH WEAPON *H,Knife / Edged Weapon / Stabbing Instrument,,April,,,1105751,Central Precinct,8,,173566649,4257732,White,Male,No,20,177824381,Active,Active,Active,,,,,,Dispatched,,,,2022,1,1
,III,Release to Medical,Tuesday,Firearm,,,Control Against Resistance,Takedown (II and III),Resisted HC,,,,,,0600-1159,Suspicious,SUSPICIOUS - WITH WEAPON *H,Knife / Edged Weapon / Stabbing Instrument,,April,,,776720,Central Precinct,19,,173566649,4257732,White,Male,No,20,177824381,Active,Active,Active,,,,,,Dispatched,,,,2022,1,1
,III,Release to Medical,Tuesday,Firearm,,,Control Against Resistance,Takedown (II and III),Resisted HC,,,,,,0600-1159,Suspicious,SUSPICIOUS - WITH WEAPON *H,Knife / Edged Weapon / Stabbing Instrument,,April,,,1061749,Central Precinct,25,,173566649,4257732,White,Male,No,20,177824381,Active,Active,Active,,,,,,Dispatched,,,,2022,1,1
,III,Arrest-Cited,Wednesday,,,,Control Against Resistance,,,Resisted HC,,,,,0600-1159,Welfare Check,WELFARE CHECK - PRIORITY,,,March,,No weapon (unarmed),793219,NORTH,25,,577576223,616750,White,Male,Yes,31,578192973,Active,Active,,,,,,,Dispatched,,Yes,,2023,1,1
,III,Arrest-Cited,Wednesday,,,,Control Against Resistance,Resisted HC,Takedown (IV),Control Against Resistance,,,,,0600-1159,Welfare Check,WELFARE CHECK - PRIORITY,,,March,,No weapon (unarmed),762219,NORTH,23,,577576223,616750,White,Male,Yes,31,578192973,Active,Active,Active,Active,,,,,Dispatched,,Yes,,2023,1,1
,III,Arrest-Cited,Wednesday,,,,Control Against Resistance,Resisted HC,Takedown (IV),Strikes/kicks,,,,,0600-1159,Welfare Check,WELFARE CHECK - PRIORITY,,,March,,No weapon (unarmed),800919,NORTH,24,,577576223,616750,White,Male,Yes,31,578192973,Active,Active,Active,Active,,,,,Dispatched,,Yes,,2023,1,1
,III,Arrest-Cited,Wednesday,,,,Kinetic Impact Projectile (KIP),,,,,,,,1800-2359,Behavioral Health,ECIT,Knife / Edged Weapon / Stabbing Instrument,,January,,,353581,North Precinct,6,,190525709,372388,Black,Male,No,35,190898097,Active,,,,,,,,Dispatched,,Yes,,2018,1,1
,III,Arrest-Cited,Wednesday,,,,PFA,,,,,,,,1800-2359,Domestic Violence,DISTURBANCE - DOMESTIC - WITH WEAPON *H,,,August,,,491391,CENTRAL,5,,138587799,578561,Black,Male,No,33,139166360,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2024,1,1
,III,Arrest-Cited,Wednesday,,,,Takedown (II and III),,,,,,,,1800-2359,Domestic Violence,DISTURBANCE - DOMESTIC - WITH WEAPON *H,,,August,,,714712,CENTRAL,2,,138587799,578561,Black,Male,No,33,139166360,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2024,1,1
,III,Arrest-Felony,Wednesday,,,,Box-in VIS,,,,,,,,0000-0559,Shots Fired,SHOTS FIRED,,,October,,,213461,TOD,5,,401548861,369647,White,Female,Yes,36,401918508,Active,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2020,1,1
,III,Arrest-Felony,Wednesday,,,,Box-in VIS,,,,,,,,1200-1759,Other,UNDESCRIBED INCIDENT,,,October,,No weapon (unarmed),269570,East Precinct,16,,385519201,604222,White,Male,Yes,22,386123423,Passive,,,,,,,,Self-Initiated,,Yes,,2017,1,1
,III,Arrest-Felony,Wednesday,,,,Box-in VIS,,,,,,,,1200-1759,Stolen Vehicle,VEHICLE RECOVERED,,,February,,No weapon (unarmed),678310,Central Precinct,14,,267566120,127711,Unknown,Unknown,Unknown,,267693831,Passive,,,,,,,,Dispatched,,,,2022,1,1
,III,Arrest-Felony,Wednesday,,,,Box-in VIS,,,,,,,,1200-1759,Stolen Vehicle,VEHICLE RECOVERED,,,February,,No weapon (unarmed),797919,Central Precinct,20,,267566120,127711,Unknown,Unknown,Unknown,,267693831,Passive,,,,,,,,Dispatched,,,,2022,1,1
,III,Arrest-Felony,Wednesday,,,,Box-in VIS,,,,,,,,1200-1759,Traffic Stop,TRAFFIC STOP,,,January,,,615800,East Precinct,14,,39535928,460278,Black,Male,No,37,39996206,Active,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2019,1,1
,III,Arrest-Felony,Wednesday,,,,Box-in VIS,,,,,,,,1800-2359,Area/Premise Check,AREA CHECK,,,March,,No weapon (unarmed),915731,EAST,10,,440576492,4308938,White,Male,No,20,444885430,Active,Null,,,,,,,Self-Initiated,,,,2023,1,1
,III,Arrest-Felony,Wednesday,,,,Box-in VIS,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,June,,,323371,East Precinct,2,,389567281,1969863,White,Male,No,17,391537144,Passive,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2022,1,1
,III,Arrest-Felony,Wednesday,,,,Box-in VIS,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,October,,No weapon (unarmed),997941,East Precinct,5,,201568359,594447,White,Female,No,30,202162806,Active,,,,,,,,Self-Initiated,,,,2022,1,1
,III,Arrest-Felony,Wednesday,,,,Box-in VIS,Control Against Resistance,Resisted HC,Takedown (II and III),Resisted HC,Control Against Resistance,,,0000-0559,Welfare Check,WELFARE CHECK - COLD,,,January,,,938542,Central Precinct,1,,57565778,265650,White,Female,Yes,40,57831428,Passive,Active,Active,Active,Active,Active,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2022,1,1
,III,Arrest-Felony,Wednesday,,,,Box-in VIS,Control Against Resistance,Resisted HC,Takedown (II and III),Resisted HC,Control Against Resistance,Resisted HC,,0000-0559,Welfare Check,WELFARE CHECK - COLD,,,January,,,882131,East Precinct,5,,57565778,265650,White,Female,Yes,40,57831428,Passive,Active,Active,Active,Active,Active,Active,,Dispatched,,,Weapon Present or reported but not used or threatened use,2022,1,1
,III,Arrest-Felony,Wednesday,,,,Box-in VIS,PFA,Takedown,,,,,,1200-1759,Other,UNDESCRIBED INCIDENT,,,October,,No weapon (unarmed),812618,East Precinct,24,,385519201,604222,White,Male,Yes,22,386123423,Passive,Active,Active,,,,,,Self-Initiated,,Yes,,2017,1,1
,III,Arrest-Felony,Wednesday,,,,Box-in VIS,Resisted HC,,,,,,,0000-0559,Hazard,INFORMATION FOR BROADCAST,,Yes,September,,No weapon (unarmed),851231,East Precinct,5,,400568221,4162314,White,Female,No,51,404730535,Active,Active,,,,,,,Self-Initiated,,,,2022,1,1
,III,Arrest-Felony,Wednesday,,,,Box-in VIS,Takedown (II and III),Control Against Resistance,,,,,,1800-2359,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,March,,,937541,North Precinct,9,Vehicle,969536577,412204,White,Male,No,28,969948781,Aggressive,Aggressive,Aggressive,,,,,,Self-Initiated,,,,2019,1,1
,III,Arrest-Felony,Wednesday,,,,Box-in VIS,Takedown (II and III),Control Against Resistance,Resisted HC,Control Against Resistance,,,,0000-0559,Hazard,INFORMATION FOR BROADCAST,,Yes,September,,No weapon (unarmed),243370,East Precinct,14,,400568221,4162314,White,Female,No,51,404730535,Active,Active,Active,Active,Active,,,,Self-Initiated,,,,2022,1,1
,III,Arrest-Felony,Wednesday,,,,CEW,,,,,,,,0600-1159,Subject Stop,SUBJECT STOP (SDC FOR PA AND PP),,,March,,No weapon (unarmed),672710,EAST,20,,148576289,4290527,Black,Male,No,39,152866816,Active,,,,,,,,Self-Initiated,,,,2023,1,1
,III,Arrest-Felony,Wednesday,,,,CEW,,,,,,,,1800-2359,Assist,ASSIST - CITIZEN OR AGENCY,,,May,,No weapon (unarmed),1047151,Central Precinct,4,,348556961,369087,Black,Male,Yes,23,348926048,Aggressive,,,,,,,,Self-Initiated,,Yes,,2021,1,1
,III,Arrest-Felony,Wednesday,,,,CEW,,,,,,,,1800-2359,Unwanted Person,UNWANTED PERSON,,,November,,No weapon (unarmed),648512,EAST,3,,952578537,4344771,Hispanic,Male,No,52,956923308,Active,,,,,,,,Dispatched,Yes,,,2023,1,1
,III,Arrest-Felony,Wednesday,,,,CEW,CEW,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,January,,No weapon (unarmed),261570,Transit (PPB Only),16,,910526036,2002691,White,Male,Yes,19,912528727,Aggressive,Aggressive,,,,,,,Self-Initiated,Yes,Yes,,2018,1,1
,III,Arrest-Felony,Wednesday,,,,CEW,CEW,Takedown (II and III),Control Against Resistance,Strikes/kicks,Control Against Resistance,,,1800-2359,Assault,ASSAULT - PRIORITY,,,July,,No weapon (unarmed),269171,East Precinct,3,,103547838,514829,Black,Male,Yes,30,104062667,Aggressive,Active,Active,Active,Active,Active,,,Dispatched,,Yes,,2020,1,1
,III,Arrest-Felony,Wednesday,,,,CEW,Null,,,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,,October,,,557200,East Precinct,12,,619539084,547748,White,Male,Yes,31,620086832,Aggressive,Null,,,,,,,Dispatched,,Yes,,2019,1,1
,III,Arrest-Felony,Wednesday,,,,CEW,Strikes/kicks,Strikes/kicks,CEW,Strikes/kicks,CEW,Resisted HC,,0600-1159,Behavioral Health,ECIT,,,December,,,648512,EAST,2,Metal pipe,727568925,3818752,White,Male,No,38,731387677,Active,Active,Active,Active,Active,Active,Active,,Dispatched,,Yes,,2022,1,1
,III,Arrest-Felony,Wednesday,,,,Chemical Incapacitant - handheld,,,,,,,,0000-0559,Escape/Pursuit,ELUDE - NOT IN PURSUIT,,,June,,No weapon (unarmed),750421,EAST,5,,372587121,530688,Black,Male,No,34,373117809,Active,,,,,,,,Self-Initiated,,,,2024,1,1
,III,Arrest-Felony,Wednesday,,,,Chemical Incapacitant - handheld,,,,,,,,1800-2359,Robbery,ROBBERY - PRIORITY *H,,,September,,No weapon (unarmed),321971,East Precinct,10,,224548660,406396,Hispanic,Male,Yes,37,224955056,Active,,,,,,,,Dispatched,,,,2020,1,1
,III,Arrest-Felony,Wednesday,,,,Chemical Incapacitant - handheld,,,,,,,,1800-2359,Unwanted Person,UNWANTED PERSON,,,August,,,915631,EAST,12,Pepper spray,547577703,375780,White,Female,Yes,52,547953483,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2023,1,1
,III,Arrest-Felony,Wednesday,,,,Chemical Incapacitant - handheld,,,Chemical Incapacitant - handheld,,,,,1800-2359,Welfare Check,WELFARE CHECK - PRIORITY,,,August,,No weapon (unarmed),967940,NORTH,15,,624577704,389939,Native American,Male,Yes,32,624967643,Active,Active,,,,,,,Dispatched,Yes,,,2023,1,1
,III,Arrest-Felony,Wednesday,,,,Chemical Incapacitant - handheld,,,Resisted HC,,,,,1800-2359,Unwanted Person,UNWANTED PERSON,,,November,,No weapon (unarmed),572201,EAST,6,,952578537,4344771,Hispanic,Male,No,52,956923308,Active,Active,,,,,,,Dispatched,Yes,,,2023,1,1
,III,Arrest-Felony,Wednesday,,,,Control Against Resistance,,,,,,,,0000-0559,Assault,ASSAULT - PRIORITY,,,December,Needle / Spit / Bodily Fluids,,406181,East Precinct,2,,440539912,325815,Black,Male,Yes,31,440865727,Active,,,,,,,,Dispatched,Yes,,,2019,1,1
,III,Arrest-Felony,Wednesday,,,,Control Against Resistance,,,,,,,,0000-0559,Burglary,BURGLARY - PRIORITY *H,,,April,,No weapon (unarmed),293271,North Precinct,1,,128536999,436294,Black,Male,Yes,30,128973293,Active,,,,,,,,Dispatched,Yes,,,2019,1,1
,III,Arrest-Felony,Wednesday,,,,Control Against Resistance,,,,,,,,0000-0559,Burglary,BURGLARY - PRIORITY *H,,,April,,No weapon (unarmed),948240,North Precinct,12,,128536999,436294,Black,Male,Yes,30,128973293,Active,,,,,,,,Dispatched,Yes,,,2019,1,1
,III,Arrest-Felony,Wednesday,,,,Control Against Resistance,,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,June,,No weapon (unarmed),516290,East Precinct,14,,988557447,236048,Black,Female,No,40,988793495,Aggressive,,,,,,,,Dispatched,Yes,,,2021,1,1
,III,Arrest-Felony,Wednesday,,,,Control Against Resistance,,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,December,,No weapon (unarmed),406181,East Precinct,3,,403549451,1803257,Black,Male,No,18,405352708,Active,,,,,,,,Dispatched,,,,2020,1,1
,III,Arrest-Felony,Wednesday,,,,Control Against Resistance,,,,,,,,0000-0559,Escape/Pursuit,ELUDE - NOT IN PURSUIT,,,June,,No weapon (unarmed),462792,CENTRAL,1,,372587121,530688,Black,Male,No,34,373117809,Active,,,,,,,,Self-Initiated,,,,2024,1,1
