Master Subject ID,Subject Sex,APD Race,Subject Resistance,Subject Effects,Council District,Date Occurred,ZIP,CENSUS_TRACT,LOCATION,X_COORDINATE,Y_COORDINATE,COUNTY
10617395: 20192850335,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,10/12/2019 12:00:00 AM,78745,24.22,7201 S CONGRESS AVE,3103136,10041017,1
267518992: 20196900504,M,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,8,10/12/2019 12:00:00 AM,78746,19.11,2100 BARTON SPRINGS RD,3106393,10070460,1
459806683: 20192840164,M,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,10/11/2019 12:00:00 AM,78701,11,300 BLOCK E 6TH ST,3115154,10070604,1
175244916: 20192790152,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3,10/06/2019 12:00:00 AM,78741,23.12,810 VARGAS RD,3130013,10058727,1
459861399: 20192842092,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,8,10/11/2019 12:00:00 AM,78746,-,ANDREW ZILKER RD / S MOPAC EXPY SVRD NB,3103475,10070557,1
220856610: 20192841647,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,4,10/11/2019 12:00:00 AM,78753,18,700 DEEN AVE,3126774,10103131,1
459861304: 20196900488,F,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,8,10/11/2019 12:00:00 AM,78746,19.11,2100 BARTON SPRINGS RD,3106393,10070460,1
48891524: 20192840164,M,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,9,10/11/2019 12:00:00 AM,78701,11,300 BLOCK E 6TH ST,3115154,10070604,1
119281019: 20192841035,M,B,AGGRESSIVE RESISTANCE,MINOR INJURY,3,10/11/2019 12:00:00 AM,78741,23,2500 E RIVERSIDE DR,3120704,10059019,1
269681763: 20192841788,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,10/11/2019 12:00:00 AM,78741,23.12,6306 E RIVERSIDE DR,3127258,10055404,1
4587777: 20192840100,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,10/11/2019 12:00:00 AM,78721,21.11,1051 SPRINGDALE RD,3130332,10072107,1
459860905: 20192840138,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,10/11/2019 12:00:00 AM,78748,24.23,758 SIMONETTI DR,3095658,10036356,1
459862410: 20192842040,F,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,8,10/11/2019 12:00:00 AM,78746,-,S MOPAC EXPY SVRD NB / ANDREW ZILKER RD,3103475,10070557,1
459714695: 20192830532,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,10/10/2019 12:00:00 AM,78741,23,1920 E RIVERSIDE DR,3119173,10061567,1
175309413: 20192830088,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3,10/10/2019 12:00:00 AM,78741,23.18,1600 MONTOPOLIS DR,3127575,10056470,1
312017435: 20192831902,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,10/10/2019 12:00:00 AM,78751,2,4001 N LAMAR BLVD,3114898,10085058,1
119275935: 20192831433,F,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3,10/10/2019 12:00:00 AM,78704,23,710 E BEN WHITE BLVD SVRD WB,3111061,10053193,1
459716091: 20192830036,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,10/10/2019 12:00:00 AM,78701,11,E 7TH ST / RED RIVER ST,3116207,10070556,1
184492893: 20192830107,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,10/10/2019 12:00:00 AM,78701,11,515 CONGRESS AVE,3114418,10070615,1
161547667: 20192821295,F,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,10/09/2019 12:00:00 AM,78704,13,2301 DURWOOD ST,3109883,10061111,1
458877515: 20192820066,F,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,10/09/2019 12:00:00 AM,78701,11,718 RED RIVER ST,3116208,10070857,1
459788993: 20192821959,M,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,6,10/09/2019 12:00:00 AM,78613,-,13010 RIDGELINE BLVD,3091166,10145076,2
459856710: 20192821729,F,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,10/09/2019 12:00:00 AM,78701,11.00,420 N IH 35 SVRD SB,3116652,10069655,1
26214684: 20192830046,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,10/09/2019 12:00:00 AM,78724,-,7502 URAY DR,3141484,10088400,1
458889120: 20192821549,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,1,10/09/2019 12:00:00 AM,78723,21.12,5700 MANOR RD,3133426,10084556,1
184488829: 20192821537,M,B,AGGRESSIVE RESISTANCE,MINOR INJURY,4,10/09/2019 12:00:00 AM,78753,18,110 BOLLES CIR,3126116,10100842,1
288818558: 20192810541,F,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,1,10/08/2019 12:00:00 AM,78723,21,5707 MANOR RD,3133646,10084692,1
212009687: 20192810711,M,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,10/08/2019 12:00:00 AM,78753,18.48,13000 N IH 35 SVRD SB,3134503,10124881,1
459585107: 20192810955,M,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,8,10/08/2019 12:00:00 AM,78735,19.14,5604 SOUTHWEST PKWY,3082154,10062686,1
459550360: 20192812070,M,W,AGGRESSIVE RESISTANCE,MINOR INJURY,7,10/08/2019 12:00:00 AM,78753,18.24,12000 N IH 35 SVRD SB,3135187,10114352,1
134153825: 20192811314,F,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,10/08/2019 12:00:00 AM,78704,14,110 E LIVE OAK ST,3111670,10061226,1
459299406: 20192810805,M,W,DEFENSIVE RESISTANCE,MINOR INJURY,4,10/08/2019 12:00:00 AM,78751,21,937 REINLI ST,3124358,10089345,1
214309178: 20192800128,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,5,10/07/2019 12:00:00 AM,78749,17.46,W SLAUGHTER LN / BRODIE LN,3081231,10039252,1
459480447: 20192800694,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,6,10/07/2019 12:00:00 AM,78729,204,13201 N FM 620 RD NB,3096967,10143063,2
210437216: 20192801051,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,10/07/2019 12:00:00 AM,78701,11.00,100 BLOCK CONGRESS AVE,3113729,10069275,1
459858803: 20192790180,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,9,10/06/2019 12:00:00 AM,78701,11,408 E 6TH ST,3115586,10070497,1
215680838: 20192791679,F,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,1,10/06/2019 12:00:00 AM,78723,21.12,5819 COVENTRY LN,3132685,10085902,1
459008753: 20192790466,F,H,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,10/06/2019 12:00:00 AM,78753,18.06,8312 N IH 35 SVRD SB,3128227,10099667,1
459580972: 20192791874,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,10/06/2019 12:00:00 AM,78702,-,1401 E 12TH ST,3119945,10072572,1
459683181: 20192790149,M,W,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,8,10/06/2019 12:00:00 AM,78749,-,8933 WHITEWORTH LOOP,3078843,10045048,1
459806383: 20192791121,F,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,4,10/06/2019 12:00:00 AM,78723,21,5621 N IH 35 SVRD NB,3125467,10088596,1
317985817: 20192790651,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,10/06/2019 12:00:00 AM,78752,15,7114 N IH 35 SVRD SB,3125687,10094562,1
459821702: 20192791215,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,10/06/2019 12:00:00 AM,78705,6,1023 W 24TH ST,3112146,10077987,1
221059165: 20192791777,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,5,10/06/2019 12:00:00 AM,78747,-,2101 BOCA RATON DR,3098650,10023438,1
208799260: 20192782031,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,10/06/2019 12:00:00 AM,78701,11,E 6TH ST / SAN JACINTO BLVD,3115084,10070527,1
459858790: 20192790036,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,10/06/2019 12:00:00 AM,78701,11,412 CONGRESS AVE,3114022,10070309,1
165610018: 20192790173,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,10/06/2019 12:00:00 AM,78704,-,3400 BLOCK WILLOWRUN DR,3110503,10055092,1
459858808: 20192790466,M,H,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,10/06/2019 12:00:00 AM,78753,18.06,8312 N IH 35 SVRD SB,3128227,10099667,1
459403377: 20196900478,M,A,PREPARATORY RESISTANCE,MINOR INJURY,8,10/05/2019 12:00:00 AM,78746,19.11,2100 BARTON SPRINGS RD,3106393,10070460,1
270140123: 20192791435,M,W,AGGRESSIVE RESISTANCE,MINOR INJURY,3,10/05/2019 12:00:00 AM,78745,20,601 W BEN WHITE BLVD SVRD EB,3106058,10055318,1
1235756: 20192781177,,,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,10/05/2019 12:00:00 AM,78741,23.18,1706 MONTOPOLIS DR,3127415,10056103,1
459858724: 20192780257,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,10/05/2019 12:00:00 AM,78756,2,2211 W NORTH LOOP BLVD,3114330,10091389,1
459858765: 20192780388,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,10/05/2019 12:00:00 AM,78752,18,700 E ST JOHNS AVE,3125772,10094688,1
459860210: 20192780495,M,H,PASSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,8,10/05/2019 12:00:00 AM,78746,-,900 S MOPAC EXPY SVRD NB,3102268,10069721,1
459801340: 20192781292,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,8,10/05/2019 12:00:00 AM,78748,-,2801 CLAYERA CV,3079895,10027955,1
459400795: 20192771693,F,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,6,10/04/2019 12:00:00 AM,78729,204,12611 HYMEADOW DR,3097388,10139404,2
262800074: 20192770219,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,10/04/2019 12:00:00 AM,78701,11,E 7TH ST / TRINITY ST,3115529,10070760,1
317984641: 20192770754,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,10/04/2019 12:00:00 AM,78701,11,500 NECHES ST,3115647,10070017,1
459858565: 20192771679,F,H,DEFENSIVE RESISTANCE,MINOR INJURY,1,10/04/2019 12:00:00 AM,78723,21.12,6603 BERKMAN DR,3130856,10089723,1
197329643: 20192772044,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,10/04/2019 12:00:00 AM,78744,-,4409 DOVE DR,3112292,10042322,1
1235239: 20192761675,,,NOT RESISTANT,NO COMPLAINT OF INJURY/PAIN,4,10/03/2019 12:00:00 AM,78723,21,1071 CLAYTON LN,3126309,10089393,1
170134580: 20192760368,M,W,NOT RESISTANT,NO COMPLAINT OF INJURY/PAIN,4,10/03/2019 12:00:00 AM,78753,18.13,8000 BLOCK CAMERON RD,3132025,10095575,1
220859413: 20192761594,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,4,10/03/2019 12:00:00 AM,78758,18.20,9010 GALEWOOD DR,3122208,10107272,1
459143884: 20192760993,M,W,PREPARATORY RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,10/03/2019 12:00:00 AM,78751,2,4100 N LAMAR BLVD,3114736,10085606,1
459654690: 20192761088,M,B,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,10/03/2019 12:00:00 AM,78701,11,70 RAINEY ST,3115582,10067264,1
301466223: 20192751936,M,W,DEFENSIVE RESISTANCE,MINOR INJURY,3,10/02/2019 12:00:00 AM,78702,9,E 6TH ST / COMAL ST,3119488,10069056,1
13828364: 20192752036,M,H,AGGRESSIVE RESISTANCE,MINOR INJURY,9,10/02/2019 12:00:00 AM,78705,4,919 E 32ND ST,3119190,10079092,1
459607379: 20192751900,F,H,AGGRESSIVE RESISTANCE,MINOR INJURY,6,10/02/2019 12:00:00 AM,78613,203.18,2801 S LAKELINE BLVD,3091492,10145582,2
365695607: 20192750012,M,H,PREPARATORY RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3,10/02/2019 12:00:00 AM,78702,8,1100 BLOCK AIRPORT BLVD,3129519,10069207,1
382671712: 20192750484,M,W,NOT RESISTANT,COMPLAINT OF INJURY/PAIN,9,10/02/2019 12:00:00 AM,78701,11,90 GUADALUPE ST,3112706,10069315,1
318309111: 20192751560,M,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,2,10/02/2019 12:00:00 AM,78747,24.28,10809 DIMITRIOS DR,3106504,10022719,1
459798762: 20192740966,F,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,10/01/2019 12:00:00 AM,78704,13,600 S 1ST ST,3111796,10066919,1
33293961: 20195039836,M,H,PREPARATORY RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,10/01/2019 12:00:00 AM,78758,18.20,9306 HUNTERS TRCE,3123740,10107614,1
322981690: 20192740151,M,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,10/01/2019 12:00:00 AM,78704,13,300 S CONGRESS AVE,3113141,10067263,1
459856481: 20192740046,M,B,AGGRESSIVE RESISTANCE,MINOR INJURY,3,10/01/2019 12:00:00 AM,78741,23.14,2800 MONTOPOLIS DR,3125398,10052338,1
459856932: 20192741974,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,10/01/2019 12:00:00 AM,78752,-,7607 BLESSING AVE,3129937,10094930,1
179700764: 20192740447,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,10/01/2019 12:00:00 AM,78741,23,2512 E RIVERSIDE DR,3120864,10058734,1
51315156: 20192742085,F,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,4,10/01/2019 12:00:00 AM,78753,18.23,10611 MC MILLIAN DR,3132372,10109011,1
459857050: 20192742068,M,H,PREPARATORY RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,10/01/2019 12:00:00 AM,78741,23.12,1601 MONTOPOLIS DR,3127800,10056391,1
459426093: 20192741853,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,10/01/2019 12:00:00 AM,78723,21,6307 CAMERON RD,3128892,10090071,1
459288121: 20192742056,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,1,10/01/2019 12:00:00 AM,78724,22.11,6575 DECKER LN,3150289,10079608,1
459397455: 20192741868,F,H,PASSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,4,10/01/2019 12:00:00 AM,78758,18.20,1600 PAYTON GIN RD,3122587,10105986,1
459855316: 20192740346,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,10/01/2019 12:00:00 AM,78727,18.48,1700 W PARMER LN,3130069,10123786,1
459548778: 20192730002,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,09/30/2019 12:00:00 AM,78704,23.08,3601 WILLOW SPRINGS RD,3110265,10055245,1
360251793: 20192731190,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3,09/30/2019 12:00:00 AM,78741,23.15,1936 E OLTORF ST,3117388,10057470,1
459561908: 20192730122,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,09/30/2019 12:00:00 AM,78758,18.19,9100 N LAMAR BLVD,3127522,10104753,1
459824124: 20192730624,M,W,AGGRESSIVE RESISTANCE,MINOR INJURY,3,09/30/2019 12:00:00 AM,78702,10,1105 E CESAR CHAVEZ ST,3117383,10067848,1
5002469: 20192731167,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,09/30/2019 12:00:00 AM,78758,18.20,9010 GALEWOOD DR,3122208,10107272,1
459856431: 20192731510,F,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,8,09/30/2019 12:00:00 AM,78749,17.40,9000 BRODIE LN,3083193,10043100,1
16384330: 20192731850,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,09/30/2019 12:00:00 AM,78723,21.07,2901 E 51ST ST,3131658,10082080,1
216334979: 20192720134,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,09/29/2019 12:00:00 AM,78744,-,4601 E VILLAGE CT,3113793,10042970,1
167970733: 20192720207,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,09/29/2019 12:00:00 AM,78705,6,2600 GUADALUPE ST,3114433,10079001,1
459855707: 20192720237,F,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,09/29/2019 12:00:00 AM,78701,11,E 6TH ST / TRINITY ST,3115415,10070416,1
459855708: 20192720308,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,09/29/2019 12:00:00 AM,78705,6,2800 GUADALUPE ST,3114281,10080003,1
459856406: 20192720125,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,09/29/2019 12:00:00 AM,78701,11,400 BLOCK E 6TH ST,3115491,10070521,1
459856409: 20192720125,F,W,PREPARATORY RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,09/29/2019 12:00:00 AM,78701,11,400 BLOCK E 6TH ST,3115491,10070521,1
459855675: 20192710359,F,B,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,9,09/28/2019 12:00:00 AM,78701,11,W 6TH ST / SAN ANTONIO ST,3112862,10071176,1
12852779: 20192710066,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,09/28/2019 12:00:00 AM,78758,18.49,11500 ROCK ROSE AVE,3119460,10119310,1
459855654: 20192710115,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,09/28/2019 12:00:00 AM,78701,-,700 BLOCK TRINITY ST,3115555,10070935,1
459856940: 20192710157,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,9,09/28/2019 12:00:00 AM,78701,11,419 E 6TH ST,3115622,10070268,1
130810239: 20192691755,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,6,09/28/2019 12:00:00 AM,78717,-,11020 SHALLOW WATER RD,3098214,10155046,2
265617742: 20192710462,M,W,AGGRESSIVE RESISTANCE,MINOR INJURY,9,09/28/2019 12:00:00 AM,78701,11,707 E CESAR CHAVEZ ST,3116082,10068221,1
458923363: 20192710208,M,W,PREPARATORY RESISTANCE,NO COMPLAINT OF INJURY/PAIN,6,09/28/2019 12:00:00 AM,78750,204,10616 MELLOW MEADOWS,3094123,10140264,2
459777719: 20192711044,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,09/28/2019 12:00:00 AM,78753,18.23,W BRAKER LN / N LAMAR BLVD,3131136,10112573,1
459311557: 20192710157,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,09/28/2019 12:00:00 AM,78701,11,419 E 6TH ST,3115622,10070268,1
459465330: 20192701923,M,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,09/27/2019 12:00:00 AM,78753,18.26,12118 WALNUT PARK XING,3134045,10116652,1
459856191: 20192702136,M,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,09/27/2019 12:00:00 AM,78701,11,400 BLOCK E 6TH ST,3115491,10070521,1
458893665: 20192700981,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,1,09/27/2019 12:00:00 AM,78723,21.12,7240 NORTHEAST DR,3133505,10090908,1
181733266: 20192701838,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,09/27/2019 12:00:00 AM,78702,10,1802 WILLOW ST,3119799,10066776,1
254936487: 20192701173,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,4,09/27/2019 12:00:00 AM,78758,18,8610 N LAMAR BLVD,3125923,10102708,1
459201125: 20192701371,M,H,AGGRESSIVE RESISTANCE,MINOR INJURY,4,09/27/2019 12:00:00 AM,78752,18.12,7200 CAMERON RD,3129700,10092439,1
184420461: 20192700918,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,09/27/2019 12:00:00 AM,78751,3,W 45TH ST / GUADALUPE ST,3117050,10086379,1
459777953: 20192701162,M,M,PREPARATORY RESISTANCE,COMPLAINT OF INJURY/PAIN,9,09/27/2019 12:00:00 AM,78704,14,S CONGRESS AVE / E RIVERSIDE DR,3113119,10066752,1
315621734: 20192701403,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,,09/27/2019 12:00:00 AM,78735,-,4970 W US 290 HWY SVRD WB,3090168,10057831,1
186860017: 20192691324,M,H,NOT RESISTANT,NO COMPLAINT OF INJURY/PAIN,,09/26/2019 12:00:00 AM,-,-,6201 E HWY 290,-,-,-
380830102: 20192691824,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,09/26/2019 12:00:00 AM,78723,21.12,5706 MANOR RD,3133312,10084623,1
269688077: 20192690054,F,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,4,09/26/2019 12:00:00 AM,78753,18.33,9714 DALLUM DR,3132759,10104885,1
308609682: 20192691250,M,B,PASSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3,09/26/2019 12:00:00 AM,78741,23.14,2100 WICKERSHAM LN,3121437,10057605,1
459855295: 20192690087,F,W,AGGRESSIVE RESISTANCE,MINOR INJURY,9,09/26/2019 12:00:00 AM,78701,11,E 3RD ST / CONGRESS AVE,3114000,10069718,1
322897945: 20192691867,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,09/26/2019 12:00:00 AM,78701,11,E 7TH ST / NECHES ST,3115857,10070656,1
459044380: 20192691060,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,09/26/2019 12:00:00 AM,78757,18.17,7800 SHOAL CREEK BLVD,3113740,10104121,1
204149461: 20192681178,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,4,09/25/2019 12:00:00 AM,78753,18.13,8221 N IH 35 NB,3128445,10099251,1
459416055: 20192681726,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,09/25/2019 12:00:00 AM,78753,18.13,1030 NORWOOD PARK BLVD,3129996,10096983,1
186778025: 20192682036,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,6,09/25/2019 12:00:00 AM,78729,204,10015 LAKE CREEK PKWY,3098733,10142841,2
458924014: 20192680037,F,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,09/25/2019 12:00:00 AM,78701,11,E 9TH ST / TRINITY ST,3115729,10071452,1
207356486: 20192680190,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,09/25/2019 12:00:00 AM,78617,23.19,3154 E SH 71 SVRD EB,3146534,10047586,1
216531947: 20192680661,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,09/25/2019 12:00:00 AM,78758,18.20,9414 PARKFIELD DR,3124988,10107324,1
459854836: 20192671303,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,7,09/24/2019 12:00:00 AM,78758,18.50,12430 METRIC BLVD,3129178,10123478,1
459854880: 20192671388,F,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,09/24/2019 12:00:00 AM,78741,23,1300 E RIVERSIDE DR,3117278,10063704,1
291570000: 20192671693,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,4,09/24/2019 12:00:00 AM,78758,18.20,9133 NORTHGATE BLVD,3121931,10108440,1
319029691: 20192671005,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,7,09/24/2019 12:00:00 AM,78757,15,811 W ST JOHNS AVE,3121229,10096963,1
459672909: 20192670599,M,W,AGGRESSIVE RESISTANCE,MINOR INJURY,9,09/24/2019 12:00:00 AM,78701,7,1300 LAVACA ST,3114254,10073670,1
153235753: 20192670236,M,W,DEFENSIVE RESISTANCE,MINOR INJURY,4,09/24/2019 12:00:00 AM,78752,-,1016 CAMINO LA COSTA,3126878,10092289,1
288775506: 20192671499,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,09/24/2019 12:00:00 AM,78744,24.27,7100 BLUFF SPRINGS RD,3106106,10039972,1
305860059: 20192671499,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,09/24/2019 12:00:00 AM,78744,24.27,7100 BLUFF SPRINGS RD,3106106,10039972,1
459811919: 20192671388,M,W,AGGRESSIVE RESISTANCE,MINOR INJURY,9,09/24/2019 12:00:00 AM,78741,23,1300 E RIVERSIDE DR,3117278,10063704,1
33096859: 20192661420,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,09/23/2019 12:00:00 AM,78722,-,1701 MANOR RD,3120178,10076434,1
459743209: 20192660630,M,H,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,09/23/2019 12:00:00 AM,78704,20,3822 SOUTHWAY DR,3104214,10056851,1
459853989: 20192660153,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,09/23/2019 12:00:00 AM,78757,18.18,900 W ANDERSON LN,3122291,10100324,1
458900093: 20192661839,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,1,09/23/2019 12:00:00 AM,78723,21.12,5700 MANOR RD,3133426,10084556,1
459301366: 20192661624,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,09/23/2019 12:00:00 AM,78741,23.04,650 S PLEASANT VALLEY RD,3123048,10062536,1
