Master Subject ID,Date Occurred,LOCATION,Subject Sex,APD Race,Subject Resistance,Subject Effects,X_COORDINATE,Y_COORDINATE,Council District,CENSUS_TRACT,COUNTY,Location 1
50988302: 20173371596,12/03/2017 12:00:00 AM,SOL WILSON AVE / SUMMERS,M,B,PREPARATORY RESISTANCE,COMPLAINT OF INJURY/PAIN,3126549,10073667,1,8.02,TRAVIS COUNTY,"78702(30.264271, -97.71608)"
1142793: 20172950080,10/22/2017 12:00:00 AM,414 E 6TH ST,,,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115646,10070479,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
294126585: 20172761237,10/03/2017 12:00:00 AM,4101 STONECROFT DR,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3083122,10048732,8,17.76,TRAVIS COUNTY,"78749(30.213975, -97.859448)"
459281903: 20173041451,10/31/2017 12:00:00 AM,E 7TH ST / RED RIVER ST,F,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3116207,10070556,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459598462: 20172890168,10/16/2017 12:00:00 AM,316 E 6TH ST,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3115313,10070574,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
91751548: 2017540456,02/23/2017 12:00:00 AM,300 COMAL ST,M,W,empty hand defensive resistance,NO COMPLAINT OF INJURY/PAIN,3119087,10068126,3,9.02,TRAVIS COUNTY,"78702(30.264271, -97.71608)"
254805959: 20173301287,11/27/2017 12:00:00 AM,1000 BLOCK BRODIE ST,F,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3108076,10062938,9,13.05,TRAVIS COUNTY,"78704(30.243217, -97.76448)"
459139695: 20173370251,12/03/2017 12:00:00 AM,E 6TH ST / TRINITY ST,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3115415,10070416,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459526703: 20173110952,11/07/2017 12:00:00 AM,9414 N LAMAR BLVD,M,B,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3127650,10106327,4,18.19,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
318899340: 20172480044,09/04/2017 12:00:00 AM,700 RED RIVER ST,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3116193,10070596,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
252838614: 20172511651,09/08/2017 12:00:00 AM,1845 BURTON DR,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3118736,10058620,3,23.15,TRAVIS COUNTY,"78741(30.227985, -97.716971)"
33097877: 201730950,01/03/2017 12:00:00 AM,7500 BLESSING AVE,M,B,evading/fleeing motor vehicle,MINOR INJURY,3129407,10094386,4,18.12,TRAVIS COUNTY,"78752(30.332223, -97.703051)"
3937032: 20173220171,11/18/2017 12:00:00 AM,400 BLOCK E 6TH ST,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115491,10070521,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
317995473: 20176900165,06/06/2017 12:00:00 AM,500 E 7TH ST,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115951,10070759,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
192284000: 20171651408,06/14/2017 12:00:00 AM,2701 E 7TH ST,M,H,mixed,COMPLAINT OF INJURY/PAIN,3124305,10067892,3,9.02,TRAVIS COUNTY,"78702(30.264271, -97.71608)"
76087657: 20172491817,09/06/2017 12:00:00 AM,800 BLOCK N IH 35 SB,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,3117007,10070496,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459559660: 20172491475,09/06/2017 12:00:00 AM,100 RED RIVER ST,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115558,10068473,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
310575552: 20171381851,05/18/2017 12:00:00 AM,1220 BARTON HILLS DR,M,W,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3104170,10068262,5,19.01,TRAVIS COUNTY,"78704(30.243217, -97.76448)"
204177215: 20172331043,08/21/2017 12:00:00 AM,6205 CANNES CIR,F,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3092440,10050797,5,17.13,TRAVIS COUNTY,"78745(30.206782, -97.798214)"
459348521: 20171181482,04/28/2017 12:00:00 AM,1704 RUTLAND DR,M,B,mixed,NO COMPLAINT OF INJURY/PAIN,3123372,10109907,4,18.21,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
458903282: 20171861024,07/05/2017 12:00:00 AM,5801 N IH 35 SVRD NB,F,A,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3125283,10089407,4,21.05,TRAVIS COUNTY,"78723(30.30723, -97.686715)"
459540826: 20172010137,07/20/2017 12:00:00 AM,13000 N IH 35 SVRD SB,F,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3134503,10124881,7,18.48,TRAVIS COUNTY,"78753(30.378511, -97.675352)"
186870077: 20171510706,05/31/2017 12:00:00 AM,2711 E CESAR CHAVEZ ST,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3123616,10065559,3,10,TRAVIS COUNTY,"78702(30.264271, -97.71608)"
135304765: 20172670074,09/24/2017 12:00:00 AM,600 NECHES ST,M,H,AGGRESSIVE RESISTANCE,MINOR INJURY,3115747,10070360,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
184353188: 20172600182,09/17/2017 12:00:00 AM,6311 THURGOOD AVE,F,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3135525,10069036,3,21.11,TRAVIS COUNTY,"78721(30.270568, -97.683892)"
1085470: 2017150141,01/15/2017 12:00:00 AM,300 BLOCK E 6TH ST,,,empty hand active aggression,NO COMPLAINT OF INJURY/PAIN,3115154,10070604,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459592822: 20172931416,10/20/2017 12:00:00 AM,5700 AIRPORT BLVD,M,W,PREPARATORY RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3123372,10089842,4,15.03,TRAVIS COUNTY,"78751(30.310564, -97.722213)"
458916426: 2017700889,03/11/2017 12:00:00 AM,E 6TH ST / CONGRESS AVE,M,H,empty hand defensive resistance,NO COMPLAINT OF INJURY/PAIN,3114309,10070753,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
1138173: 20172740260,10/01/2017 12:00:00 AM,300 E 6TH ST,,,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115154,10070604,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
185271148: 20176900130,03/29/2017 12:00:00 AM,700 NECHES ST,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115843,10070697,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
334758200: 20171340011,05/14/2017 12:00:00 AM,500 E 8TH ST,M,B,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3116003,10071013,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
294126529: 2017720053,03/13/2017 12:00:00 AM,6800 WEST GATE BLVD,F,W,empty hand defensive resistance,NO COMPLAINT OF INJURY/PAIN,3091727,10048807,5,17.5,TRAVIS COUNTY,"78745(30.206782, -97.798214)"
291376580: 20172561233,09/13/2017 12:00:00 AM,SPRINGDALE RD / SARA DR,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3130501,10072575,3,21.1,TRAVIS COUNTY,"78721(30.270568, -97.683892)"
458919445: 20171481055,05/28/2017 12:00:00 AM,3600 S CONGRESS AVE,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3108710,10056045,3,13.08,TRAVIS COUNTY,"78704(30.243217, -97.76448)"
459013847: 20172320176,08/20/2017 12:00:00 AM,6100 E RIVERSIDE DR,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3126369,10055884,3,23.18,TRAVIS COUNTY,"78741(30.227985, -97.716971)"
459499950: 20172170128,08/05/2017 12:00:00 AM,800 HUNTINGDON PL,M,W,PREPARATORY RESISTANCE,COMPLAINT OF INJURY/PAIN,3099695,10044210,2,24.24,TRAVIS COUNTY,"78745(30.206782, -97.798214)"
458792697: 2017762340,03/17/2017 12:00:00 AM,MC NEIL DR / N US 183 HWY SVRD NB,M,H,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3104632,10131070,6,204.1,WILLIAMSON COUNTY,"78727(30.426879, -97.713462)"
459095409: 20172700159,09/27/2017 12:00:00 AM,600 BLOCK TRINITY ST,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,3115448,10070595,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459044780: 20172381240,08/26/2017 12:00:00 AM,5706 MANOR RD,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3133312,10084623,1,21.12,TRAVIS COUNTY,"78723(30.30723, -97.686715)"
1091040: 2017791578,03/20/2017 12:00:00 AM,700 W SLAUGHTER LN,,,empty hand defensive resistance,NO COMPLAINT OF INJURY/PAIN,3096443,10036163,2,24.23,TRAVIS COUNTY,"78748(30.166107, -97.825259)"
169149702: 20172040865,07/23/2017 12:00:00 AM,4600 E 12TH ST,M,H,PREPARATORY RESISTANCE,MINOR INJURY,3131896,10075128,1,21.09,TRAVIS COUNTY,"78721(30.270568, -97.683892)"
135269668: 2017840045,03/25/2017 12:00:00 AM,600 BLOCK NECHES ST,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115785,10070494,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
302386589: 20171540653,06/03/2017 12:00:00 AM,8008 VERBANK VILLA DR,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3114987,10031183,2,24.26,TRAVIS COUNTY,"78747(30.133523, -97.757228)"
1141388: 20172860149,10/13/2017 12:00:00 AM,E 6TH ST / TRINITY ST,,,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115415,10070416,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
180356594: 20171131251,04/23/2017 12:00:00 AM,4605 CALLISTO TER,F,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3119316,10129123,7,18.28,TRAVIS COUNTY,"78727(30.426879, -97.713462)"
459148115: 20173141201,11/10/2017 12:00:00 AM,2015 E RIVERSIDE DR,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3119270,10060529,3,23.16,TRAVIS COUNTY,"78741(30.227985, -97.716971)"
294257181: 2017150146,01/15/2017 12:00:00 AM,4900 MUELLER BLVD,M,H,empty hand active aggression,NO COMPLAINT OF INJURY/PAIN,3125556,10083907,9,3.06,TRAVIS COUNTY,"78723(30.30723, -97.686715)"
459056926: 20171150321,04/25/2017 12:00:00 AM,1000 W RUNDBERG LN,M,B,AGGRESSIVE RESISTANCE,MINOR INJURY,3127035,10106224,4,18.19,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
155386134: 20171421306,05/22/2017 12:00:00 AM,700 N IH 35 SVRD SB,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3116878,10070401,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
64028974: 20173461237,12/12/2017 12:00:00 AM,900 N IH 35 SVRD SB,M,B,AGGRESSIVE RESISTANCE,MINOR INJURY,3117057,10071179,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459347260: 20172571898,09/14/2017 12:00:00 AM,7227 E US 290 HWY SVRD EB,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3133401,10090963,1,21.12,TRAVIS COUNTY,"78723(30.30723, -97.686715)"
459376298: 20171500193,05/30/2017 12:00:00 AM,9010 GALEWOOD DR,F,W,mixed,MINOR INJURY,3122208,10107272,4,18.2,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
213720970: 20172471638,09/04/2017 12:00:00 AM,1500 FARO DR,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3123697,10058703,3,23.18,TRAVIS COUNTY,"78741(30.227985, -97.716971)"
169087525: 20172780098,10/05/2017 12:00:00 AM,300 BLOCK E 6TH ST,M,H,PREPARATORY RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115154,10070604,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459398423: 20171500006,05/30/2017 12:00:00 AM,N IH 35 SVRD SB / E KOENIG LN SVRD EB,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3125000,10090414,4,21.05,TRAVIS COUNTY,"78751(30.310564, -97.722213)"
290653098: 20172771072,10/04/2017 12:00:00 AM,4800 E STASSNEY LN,F,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3115030,10043938,2,24.13,TRAVIS COUNTY,"78744(30.186349, -97.738673)"
312869271: 20171960475,07/15/2017 12:00:00 AM,8700 BRODIE LN,M,H,,MINOR INJURY,3083713,10044201,8,17.77,TRAVIS COUNTY,"78749(30.213975, -97.859448)"
459541318: 20171290666,05/09/2017 12:00:00 AM,5600 MANOR RD,F,B,DEFENSIVE RESISTANCE,MINOR INJURY,3132871,10084098,1,21.06,TRAVIS COUNTY,"78723(30.30723, -97.686715)"
237895997: 20172941325,10/21/2017 12:00:00 AM,3400 LYNRIDGE DR,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3138588,10089175,1,21.13,TRAVIS COUNTY,"78723(30.30723, -97.686715)"
458964846: 20172611239,09/18/2017 12:00:00 AM,2250 RIDGEPOINT DR,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3134806,10093981,1,18.34,TRAVIS COUNTY,"78754(30.356927, -97.643722)"
216279142: 2017171067,01/17/2017 12:00:00 AM,S PLEASANT VALLEY RD / FRANKLIN PARK DR,M,H,empty hand defensive resistance,NO COMPLAINT OF INJURY/PAIN,3114755,10045463,2,24.11,TRAVIS COUNTY,"78744(30.186349, -97.738673)"
388633462: 20176900639,11/20/2017 12:00:00 AM,600 E 10TH ST,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3116587,10071597,1,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459166207: 20172660115,09/23/2017 12:00:00 AM,700 TRINITY ST,M,H,PREPARATORY RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115515,10070800,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459620186: 20173530111,12/19/2017 12:00:00 AM,400 E 6TH ST,M,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3115491,10070521,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
458926382: 20171620593,06/11/2017 12:00:00 AM,4700 E RIVERSIDE DR,M,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3122188,10058144,3,23.18,TRAVIS COUNTY,"78741(30.227985, -97.716971)"
459538005: 20173470837,12/13/2017 12:00:00 AM,717 E 7TH ST,M,B,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3116761,10070297,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
131662744: 20173130415,11/09/2017 12:00:00 AM,7108 NORTHEAST DR,F,B,AGGRESSIVE RESISTANCE,MINOR INJURY,3133893,10090648,1,21.12,TRAVIS COUNTY,"78723(30.30723, -97.686715)"
5026059: 20173440284,12/10/2017 12:00:00 AM,2519 DOVEMEADOW DR,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3111789,10042428,2,24.12,TRAVIS COUNTY,"78744(30.186349, -97.738673)"
459617233: 20173440151,12/10/2017 12:00:00 AM,E 6TH ST / TRINITY ST,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115415,10070416,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
121569711: 20171870653,07/06/2017 12:00:00 AM,5515 WOODROW AVE,M,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3116795,10092335,7,2.05,TRAVIS COUNTY,"78756(30.321553, -97.740236)"
384056424: 20173110770,11/07/2017 12:00:00 AM,1500 BURTON DR,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3119429,10060608,3,23.16,TRAVIS COUNTY,"78741(30.227985, -97.716971)"
459092093: 20171961421,07/15/2017 12:00:00 AM,10000 GILES LN,M,W,AGGRESSIVE RESISTANCE,MINOR INJURY,3152159,10096146,1,18.56,TRAVIS COUNTY,"78754(30.356927, -97.643722)"
459175598: 20172291771,08/17/2017 12:00:00 AM,500 E 4TH ST,M,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115657,10069692,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
28901735: 20172090621,07/27/2017 12:00:00 AM,11406 BITTERN HOLW,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3126532,10115723,7,18.44,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
459566856: 20172030645,07/22/2017 12:00:00 AM,7712 E RIVERSIDE DR,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3131625,10052607,2,24.31,TRAVIS COUNTY,"78744(30.186349, -97.738673)"
459358025: 20173221804,11/18/2017 12:00:00 AM,GUADALUPE ST / W 24TH ST,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3114541,10077908,9,6.04,TRAVIS COUNTY,"78705(30.292467, -97.737978)"
459251412: 2017571487,02/26/2017 12:00:00 AM,11900 BLOCK METRIC BLVD,M,B,evading/fleeing motor vehicle,MINOR INJURY,3125397,10119142,7,18.49,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
305671199: 20172611630,09/18/2017 12:00:00 AM,1700 MONTOPOLIS DR,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3127428,10056202,3,23.18,TRAVIS COUNTY,"78741(30.227985, -97.716971)"
459157336: 20172710739,09/28/2017 12:00:00 AM,8603 HATHAWAY DR,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3118913,10107097,7,18.18,TRAVIS COUNTY,"78757(30.349869, -97.732706)"
156829060: 20173291084,11/25/2017 12:00:00 AM,10000 N LAMAR BLVD,M,B,AGGRESSIVE RESISTANCE,MINOR INJURY,3128495,10107901,4,18.22,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
459605351: 20173080218,11/04/2017 12:00:00 AM,302 E 6TH ST,M,M,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115180,10070609,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
1134899: 20172170175,08/05/2017 12:00:00 AM,400 E 6TH ST,,,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115491,10070521,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
341246233: 2017401865,02/09/2017 12:00:00 AM,2902 LOCKE LN,F,B,empty hand active aggression,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3106262,10059848,3,13.07,TRAVIS COUNTY,"78704(30.243217, -97.76448)"
223543564: 20173410863,12/07/2017 12:00:00 AM,2740 TOM MILLER ST,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3127500,10079124,9,3.06,TRAVIS COUNTY,"78723(30.30723, -97.686715)"
204157975: 20171040527,04/14/2017 12:00:00 AM,7105 N IH 35 SVRD NB,F,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3126122,10094299,4,18.12,TRAVIS COUNTY,"78752(30.332223, -97.703051)"
459239290: 20173300078,11/26/2017 12:00:00 AM,E 6TH ST / TRINITY ST,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115415,10070416,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459549167: 20176900640,11/20/2017 12:00:00 AM,600 RED RIVER ST,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,3116085,10070257,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
225778566: 20173340632,11/30/2017 12:00:00 AM,2309 BERKELEY AVE,M,A,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3094586,10048954,5,17.13,TRAVIS COUNTY,"78745(30.206782, -97.798214)"
459129230: 20172950427,10/22/2017 12:00:00 AM,500 E 7TH ST,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3115951,10070759,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
165026655: 20172270131,08/15/2017 12:00:00 AM,9307 N LAMAR BLVD,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3127917,10105255,4,18.06,TRAVIS COUNTY,"78753(30.378511, -97.675352)"
459577602: 20172250112,08/13/2017 12:00:00 AM,406 E 6TH ST,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115565,10070504,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459553837: 20171610361,06/10/2017 12:00:00 AM,1403 S LAMAR BLVD,F,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3108099,10064937,5,13.03,TRAVIS COUNTY,"78704(30.243217, -97.76448)"
459537616: 20171740841,06/23/2017 12:00:00 AM,3500 WEBBERVILLE RD,F,H,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3125897,10072042,1,8.02,TRAVIS COUNTY,"78702(30.264271, -97.71608)"
459481553: 20173260673,11/22/2017 12:00:00 AM,3413 W SLAUGHTER LN,F,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3081539,10038934,5,17.48,TRAVIS COUNTY,"78748(30.166107, -97.825259)"
177604372: 20173071371,11/03/2017 12:00:00 AM,CULLEN AVE / ARROYO SECO,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3118568,10097775,7,15.04,TRAVIS COUNTY,"78757(30.349869, -97.732706)"
155124821: 2017381350,02/07/2017 12:00:00 AM,8010 N IH 35 SVRD SB,M,W,empty hand active aggression,MINOR INJURY,3127446,10098323,4,18.04,TRAVIS COUNTY,"78753(30.378511, -97.675352)"
459594680: 20172881309,10/15/2017 12:00:00 AM,303 RED RIVER ST,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115875,10069262,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
33423814: 20173391749,12/05/2017 12:00:00 AM,8901 POINTER LN,F,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3122135,10106172,4,18.2,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
5023233: 20172161488,08/04/2017 12:00:00 AM,1919 BURTON DR,M,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3118423,10058326,3,23.15,TRAVIS COUNTY,"78741(30.227985, -97.716971)"
356651742: 20172291408,08/17/2017 12:00:00 AM,3900 BLOCK S CONGRESS AVE,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3108121,10054692,3,13.08,TRAVIS COUNTY,"78704(30.243217, -97.76448)"
269354794: 20173240219,11/20/2017 12:00:00 AM,9010 GALEWOOD DR,F,B,AGGRESSIVE RESISTANCE,MINOR INJURY,3122208,10107272,4,18.2,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
459610169: 20173220171,11/18/2017 12:00:00 AM,400 BLOCK E 6TH ST,F,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115491,10070521,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459030002: 20171991809,07/18/2017 12:00:00 AM,1088 WALNUT CREEK PARK DR,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3131923,10119544,7,18.26,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
459540925: 20171281421,05/08/2017 12:00:00 AM,1401 EVA ST,M,W,PASSIVE RESISTANCE,MINOR INJURY,3112023,10064202,9,13.05,TRAVIS COUNTY,"78704(30.243217, -97.76448)"
1089499: 2017640198,03/05/2017 12:00:00 AM,400 BLOCK E 6TH ST,,,empty hand active aggression,NO COMPLAINT OF INJURY/PAIN,3115491,10070521,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459577594: 20172250112,08/13/2017 12:00:00 AM,406 E 6TH ST,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3115565,10070504,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459517841: 2017700951,03/11/2017 12:00:00 AM,1204 DOBIE DR,M,B,empty hand active aggression,COMPLAINT OF INJURY/PAIN,3134177,10103752,4,18.33,TRAVIS COUNTY,"78753(30.378511, -97.675352)"
291046098: 20173620066,12/28/2017 12:00:00 AM,N IH 35 SVRD NB / CAMINO LA COSTA,M,B,PASSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3125667,10093349,4,18.12,TRAVIS COUNTY,"78752(30.332223, -97.703051)"
459607213: 20173131654,11/09/2017 12:00:00 AM,2915 AFTONSHIRE WAY,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3084977,10038221,5,17.46,TRAVIS COUNTY,"78748(30.166107, -97.825259)"
459572490: 20172101642,07/29/2017 12:00:00 AM,400 BLOCK E 6TH ST,M,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115491,10070521,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459567048: 20171970170,07/16/2017 12:00:00 AM,400 BLOCK E 6TH ST,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115491,10070521,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459507535: 2017490105,02/18/2017 12:00:00 AM,94 RAINEY ST,M,W,empty hand active aggression,MINOR INJURY,3115774,10068109,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
384078201: 20171770591,06/26/2017 12:00:00 AM,800 RUTLAND DR,M,B,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3128158,10106371,4,18.22,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
264307625: 20172490257,09/06/2017 12:00:00 AM,5002 BLUE SPRUCE CIR,F,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3131989,10081652,1,21.07,TRAVIS COUNTY,"78723(30.30723, -97.686715)"
339020805: 20175024004,02/01/2017 12:00:00 AM,1520 RUTHERFORD LN,M,W,DEFENSIVE RESISTANCE,MINOR INJURY,3133220,10096590,1,18.34,TRAVIS COUNTY,"78754(30.356927, -97.643722)"
96076193: 2017251468,01/25/2017 12:00:00 AM,2605 E 4TH ST,M,H,empty hand active aggression,NO COMPLAINT OF INJURY/PAIN,3123535,10066684,3,9.02,TRAVIS COUNTY,"78702(30.264271, -97.71608)"
