CASE_NUMBER,DATE,TIME,RACE,SEX,AGE,RESISTANCE_LEVEL,FORCE_LEVEL,PHYSICAL,PRESSURE_POINT,COME_ALONG,ACTIVE_COUNTERMEASURE,SHOULDER_PIN,OC_SPRAY,FIREARM,HANDCUFFS,BATON,TASER,K_9,OFFICER_INJURED_NO_MED,OFFICER_INJURED_MED_REQ,SUSPECT_INJURED_NO_MED,SUSPECT_INJURED_MED_REQ,FID
B7-090868,2017/10/02 00:00:00+00,245,W,M,17,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,X,166
B7-090868,2017/10/02 00:00:00+00,245,W,M,17,DEFENSIVE RESISTANCE,HARD INTERMEDIATE WEAPON,X,,X,,,,,X,,X,,X,,X,X,167
B7-093292,2017/10/08 00:00:00+00,236,U,M,25,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,168
B7-093292,2017/10/08 00:00:00+00,236,U,M,25,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,169
B7-094146,2017/10/10 00:00:00+00,1610,W,M,21,DEADLY FORCE ASSAULT,HARD EMPTY HAND CONTROL,X,,X,,,,,,,,,,,X,X,170
B7-094146,2017/10/10 00:00:00+00,1610,W,M,21,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON,,,,,,,,,,X,,,,X,X,171
B7-105865,2017/11/14 00:00:00+00,56,W,M,29,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,,,,,,X,,,,X,,X,X,172
B7-106366,2017/11/15 00:00:00+00,1525,W,F,36,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,173
B7-106968,2017/11/17 00:00:00+00,1135,W,F,33,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,,,174
B7-107198,2017/11/17 00:00:00+00,2247,W,M,21,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,175
B7-107198,2017/11/17 00:00:00+00,2247,W,M,21,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON,X,,X,,,,,X,,X,,X,,X,X,176
B7-108528,2017/11/22 00:00:00+00,817,B,M,54,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,177
B7-108528,2017/11/22 00:00:00+00,818,B,F,43,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,,,,,,X,,,,,,X,X,178
B7-109282,2017/11/24 00:00:00+00,2008,,,0,DESTROY INJURED ANIMAL,DESTROY INJURED ANIMAL,,,,,,,X,,,,,,,,,179
B7-109519,2017/11/25 00:00:00+00,1612,B,M,36,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,180
B7-109519,2017/11/25 00:00:00+00,1612,B,M,36,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,181
B7-109519,2017/11/25 00:00:00+00,1612,B,M,36,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,182
B7-111637,2017/12/02 00:00:00+00,120,B,M,12,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,183
B7-113459,2017/12/07 00:00:00+00,1809,W,M,18,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON,X,,X,,,,,X,,X,,,,X,X,184
B7-113835,2017/12/09 00:00:00+00,9,B,M,36,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,185
B7-114158,2017/12/10 00:00:00+00,117,H,M,22,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,186
B7-114158,2017/12/10 00:00:00+00,117,H,M,22,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,X,187
B7-114172,2017/12/10 00:00:00+00,157,B,M,51,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,188
B7-115018,2017/12/12 00:00:00+00,2345,W,M,26,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,,,189
B7-115018,2017/12/12 00:00:00+00,2345,W,M,26,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,X,,,190
B7-115121,2017/12/13 00:00:00+00,1000,B,M,15,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,,191
B7-115121,2017/12/13 00:00:00+00,1000,B,M,15,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,,192
B7-115278,2017/12/13 00:00:00+00,1815,,,0,DESTROY INJURED ANIMAL,DESTROY INJURED ANIMAL,,,,,,,X,,,,,,,,,193
B7-115466,2017/12/14 00:00:00+00,1000,W,M,15,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,194
B7-115968,2017/12/15 00:00:00+00,2255,B,M,30,PASSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,,,,,,X,,,,,,X,,195
B7-116264,2017/12/17 00:00:00+00,19,W,M,34,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON,X,,X,,,,,X,,X,,,,X,X,196
B7-116264,2017/12/17 00:00:00+00,19,W,M,34,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON,X,,X,,,,,X,,X,,,,X,X,197
B7-116264,2017/12/17 00:00:00+00,19,W,M,34,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON,X,,X,,,,,,,X,,,,X,X,198
B7-116493,2017/12/17 00:00:00+00,1745,I,M,52,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON,,,,,,,,X,,X,,,,X,X,199
B7-118782,2017/12/25 00:00:00+00,1222,W,F,22,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,200
,,,,,,,,,,,,,,,,,,,,,,,201
,,,,,,,,,,,,,,,,,,,,,,,202
 ,,,,,,,,,,,,,,,,,,,,,,,203
