Master Subject ID,Date Occurred,LOCATION,Subject Sex,APD Race,Subject Resistance,Subject Effects,X_COORDINATE,Y_COORDINATE,Council District,ZIP,CENSUS_TRACT,County
459739016: 20183160110,11/12/2018 12:00:00 AM,506 HARWAY CT,M,H,PREPARATORY RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3108395,10050268,3,78745,24.03,TRAVIS COUNTY
265224493: 20183161532,11/12/2018 12:00:00 AM,6214 E RIVERSIDE DR,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3126955,10055640,3,78741,-,TRAVIS COUNTY
459003521: 20183161292,11/12/2018 12:00:00 AM,2410 E RIVERSIDE DR,M,B,PREPARATORY RESISTANCE,COMPLAINT OF INJURY/PAIN,3120441,10059515,3,78741,-,TRAVIS COUNTY
459738985: 20183150187,11/11/2018 12:00:00 AM,400 BLOCK E 6TH ST,M,B,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3115491,10070521,9,78701,-,TRAVIS COUNTY
458876795: 20183150134,11/11/2018 12:00:00 AM,10503 N LAMAR BLVD,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3129889,10109590,4,78753,-,TRAVIS COUNTY
459738573: 20183150133,11/11/2018 12:00:00 AM,400 E 6TH ST,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115491,10070521,9,78701,-,TRAVIS COUNTY
459738971: 20183150187,11/11/2018 12:00:00 AM,400 BLOCK E 6TH ST,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115491,10070521,9,78701,-,TRAVIS COUNTY
459739726: 20183150133,11/11/2018 12:00:00 AM,400 E 6TH ST,M,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3115491,10070521,9,78701,-,TRAVIS COUNTY
1186241: 20183150199,11/11/2018 12:00:00 AM,300 BLOCK E 6TH ST,,,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115154,10070604,9,78701,-,TRAVIS COUNTY
1186240: 20183150199,11/11/2018 12:00:00 AM,300 BLOCK E 6TH ST,,,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115154,10070604,9,78701,-,TRAVIS COUNTY
185008488: 20183150160,11/11/2018 12:00:00 AM,5720 SIGNAL PT,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3144674,10079071,1,78724,22.08,TRAVIS COUNTY
459738965: 20183150133,11/11/2018 12:00:00 AM,400 E 6TH ST,M,H,AGGRESSIVE RESISTANCE,MINOR INJURY,3115491,10070521,9,78701,-,TRAVIS COUNTY
459739725: 20183150133,11/11/2018 12:00:00 AM,400 E 6TH ST,M,B,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3115491,10070521,9,78701,-,TRAVIS COUNTY
459738979: 20183141609,11/10/2018 12:00:00 AM,2504 SAN GABRIEL ST,M,W,AGGRESSIVE RESISTANCE,MINOR INJURY,3112549,10078767,9,78705,-,TRAVIS COUNTY
459739176: 20183141058,11/10/2018 12:00:00 AM,2706 SALADO ST,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3113264,10079757,9,78705,6.03,TRAVIS COUNTY
118884538: 20183141684,11/10/2018 12:00:00 AM,702 LAMAR PL,F,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3120451,10093969,4,78752,15.03,TRAVIS COUNTY
459687750: 20183140418,11/10/2018 12:00:00 AM,2800 LYONS RD,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3125478,10069546,3,78702,8.01,TRAVIS COUNTY
459321985: 20183140754,11/10/2018 12:00:00 AM,1600 S PLEASANT VALLEY RD,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3121574,10059990,3,78741,-,TRAVIS COUNTY
459738907: 20183140056,11/10/2018 12:00:00 AM,323 E 6TH ST,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115325,10070387,9,78701,-,TRAVIS COUNTY
317985392: 20183140347,11/10/2018 12:00:00 AM,12118 WALNUT PARK XING,F,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3134045,10116652,7,78753,18.26,TRAVIS COUNTY
459506920: 20183141292,11/10/2018 12:00:00 AM,6707 CAMERON RD,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3129252,10090848,1,78752,-,TRAVIS COUNTY
5012088: 20183141068,11/10/2018 12:00:00 AM,5413 TALLOW TREE DR,F,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3111422,10044758,2,78744,24.11,TRAVIS COUNTY
459238369: 20183141732,11/10/2018 12:00:00 AM,E 6TH ST / CHICON ST,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3120770,10068586,3,78702,-,TRAVIS COUNTY
33293204: 20183130509,11/09/2018 12:00:00 AM,601 N IH 35 SVRD NB,M,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3117100,10069985,3,78702,-,TRAVIS COUNTY
458768148: 20183130380,11/09/2018 12:00:00 AM,5330 N IH 35 SVRD SB,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3124538,10087177,4,78751,-,TRAVIS COUNTY
459738838: 20183131171,11/09/2018 12:00:00 AM,11208 BRUSHY GLEN DR,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3137615,10108884,1,78754,18.34,TRAVIS COUNTY
459581891: 20183131171,11/09/2018 12:00:00 AM,11208 BRUSHY GLEN DR,F,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3137615,10108884,1,78754,18.34,TRAVIS COUNTY
95951565: 20183130332,11/09/2018 12:00:00 AM,8930 GALEWOOD DR,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3121931,10106738,4,78758,18.2,TRAVIS COUNTY
458940571: 20183130338,11/09/2018 12:00:00 AM,4410 E RIVERSIDE DR,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3121437,10058363,3,78741,-,TRAVIS COUNTY
459677285: 20183131327,11/09/2018 12:00:00 AM,E STASSNEY LN / S CONGRESS AVE,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3104744,10047567,3,78745,-,TRAVIS COUNTY
6819141: 20183120864,11/08/2018 12:00:00 AM,3600 PRESIDENTIAL BLVD,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3138850,10047302,2,78719,-,TRAVIS COUNTY
459738283: 20183120286,11/08/2018 12:00:00 AM,10300 JOLLYVILLE RD,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3110878,10117592,10,78759,17.22,TRAVIS COUNTY
459738215: 20183120049,11/08/2018 12:00:00 AM,3154 E SH 71 EB,M,W,PREPARATORY RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3146978,10048052,2,78617,-,TRAVIS COUNTY
290458943: 20183121823,11/08/2018 12:00:00 AM,4600 NUCKOLS CROSSING RD,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3117292,10045926,2,78744,-,TRAVIS COUNTY
314053468: 20183110178,11/07/2018 12:00:00 AM,5901 AIRPORT BLVD,M,W,DEFENSIVE RESISTANCE,MINOR INJURY,3122413,10091302,4,78752,-,TRAVIS COUNTY
459738023: 20183111097,11/07/2018 12:00:00 AM,8800 S IH 35 SVRD NB,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3101910,10034053,2,78744,-,TRAVIS COUNTY
458889945: 20183110038,11/07/2018 12:00:00 AM,110 E 2ND ST,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3114154,10069410,9,78701,-,TRAVIS COUNTY
175244916: 20183110758,11/07/2018 12:00:00 AM,6000 FAIRWAY ST,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3126474,10057206,3,78741,-,TRAVIS COUNTY
384043010: 20183110983,11/07/2018 12:00:00 AM,2508 E RIVERSIDE DR,M,B,AGGRESSIVE RESISTANCE,MINOR INJURY,3120958,10059176,3,78741,-,TRAVIS COUNTY
1185822: 20183100891,11/06/2018 12:00:00 AM,5706 MANOR RD,,,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3133312,10084623,1,78723,-,TRAVIS COUNTY
459737434: 20183100101,11/06/2018 12:00:00 AM,1660 E 51ST ST,M,B,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3127855,10084304,4,78723,-,TRAVIS COUNTY
459656766: 20183101262,11/06/2018 12:00:00 AM,4900 GONZALES ST,F,M,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3128603,10066714,3,78702,-,TRAVIS COUNTY
459707276: 20183101727,11/06/2018 12:00:00 AM,11001 S 1ST ST,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3096108,10025678,5,78748,24.07,TRAVIS COUNTY
172098406: 20183100986,11/06/2018 12:00:00 AM,2820 E MARTIN LUTHER KING JR BLVD,F,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3124343,10075985,1,78722,4.02,TRAVIS COUNTY
1185040: 20183100891,11/06/2018 12:00:00 AM,5706 MANOR RD,,,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3133312,10084623,1,78723,-,TRAVIS COUNTY
310184451: 20183101784,11/06/2018 12:00:00 AM,1501 REAGAN HILL DR,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3130394,10092312,4,78752,18.11,TRAVIS COUNTY
131662207: 20183101576,11/06/2018 12:00:00 AM,1006 MARKHAM LN,M,B,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3139692,10116759,7,78753,-,TRAVIS COUNTY
167642065: 20183101528,11/06/2018 12:00:00 AM,305 OERTLI LN,F,W,DEFENSIVE RESISTANCE,MINOR INJURY,3127194,10100522,4,78753,18.06,TRAVIS COUNTY
459598882: 20183100431,11/06/2018 12:00:00 AM,9414 N LAMAR BLVD,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3127650,10106327,4,78758,-,TRAVIS COUNTY
315163785: 20183091816,11/05/2018 12:00:00 AM,11005 JORDAN LN,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3126848,10113225,4,78758,-,TRAVIS COUNTY
159449384: 20183090908,11/05/2018 12:00:00 AM,2100 BLOCK GUADALUPE ST,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3114343,10076565,9,78705,6.04,TRAVIS COUNTY
459580989: 20183081397,11/04/2018 12:00:00 AM,600 BRAZOS ST,M,W,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3114727,10070664,9,78701,-,TRAVIS COUNTY
204154289: 20183080156,11/04/2018 12:00:00 AM,6113 PERLITA DR,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3145470,10080362,1,78724,22.08,TRAVIS COUNTY
459736611: 20183080186,11/04/2018 12:00:00 AM,BRODIE LN / HARPERS FERRY LN,F,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3085732,10047889,5,78749,-,TRAVIS COUNTY
459397455: 20183081264,11/04/2018 12:00:00 AM,"8527 N CAPITAL OF TEXAS HWY NB, BLDG 8535",F,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,-,-,,-,-,
459736606: 20183080298,11/04/2018 12:00:00 AM,1407 W STASSNEY LN,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3099331,10049879,2,78745,-,TRAVIS COUNTY
181928301: 20183081243,11/04/2018 12:00:00 AM,6524 E PARMER LN,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3156899,10107363,1,78653,18.56,TRAVIS COUNTY
459729079: 20183080848,11/04/2018 12:00:00 AM,1508 MONTOPOLIS DR,M,B,AGGRESSIVE RESISTANCE,MINOR INJURY,3127718,10056671,3,78741,-,TRAVIS COUNTY
123405399: 20183081552,11/04/2018 12:00:00 AM,8101 APPOMATTOX DR,F,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3091471,10043331,5,78745,17.28,TRAVIS COUNTY
174210076: 20183081633,11/04/2018 12:00:00 AM,4800 S US 183 HWY NB,M,H,PREPARATORY RESISTANCE,COMPLAINT OF INJURY/PAIN,3132461,10040127,2,78719,24.35,TRAVIS COUNTY
1185042: 20183080118,11/04/2018 12:00:00 AM,408 E 6TH ST,,,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115586,10070497,9,78701,-,TRAVIS COUNTY
459660567: 20183081623,11/04/2018 12:00:00 AM,6904 GAUR DR,M,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3068935,10049338,8,78749,17.37,TRAVIS COUNTY
459736616: 20183080269,11/04/2018 12:00:00 AM,300 E 6TH ST,M,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115154,10070604,9,78701,-,TRAVIS COUNTY
459736613: 20183080033,11/04/2018 12:00:00 AM,11200 RESEARCH BLVD NB,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3112419,10121631,6,78759,-,TRAVIS COUNTY
459348377: 20183071124,11/03/2018 12:00:00 AM,5304 CONCHO CREEK BND,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3084061,10062590,8,78735,19.14,TRAVIS COUNTY
459737480: 20183071851,11/03/2018 12:00:00 AM,5800 SWEENEY CIR,M,B,PREPARATORY RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3133829,10084623,1,78723,-,TRAVIS COUNTY
459185874: 20183070928,11/03/2018 12:00:00 AM,6305 CAMERON RD,M,H,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3128819,10090096,1,78723,-,TRAVIS COUNTY
371197852: 20183071477,11/03/2018 12:00:00 AM,RED RIVER ST / E MARTIN LUTHER KING JR BLVD,M,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3117568,10074797,1,78705,-,TRAVIS COUNTY
29753728: 20183071585,11/03/2018 12:00:00 AM,2301 DURWOOD ST,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3109883,10061111,9,78704,-,TRAVIS COUNTY
384044037: 20183071851,11/03/2018 12:00:00 AM,5800 SWEENEY CIR,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3133829,10084623,1,78723,-,TRAVIS COUNTY
131924420: 20183070170,11/03/2018 12:00:00 AM,4801 S CONGRESS AVE,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3106363,10050666,3,78745,24.03,TRAVIS COUNTY
458947547: 20183080560,11/03/2018 12:00:00 AM,1500 ROYAL CREST DR,M,B,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3118504,10060965,3,78741,23.16,TRAVIS COUNTY
208799047: 20183070488,11/03/2018 12:00:00 AM,6603 N IH 35 SVRD NB,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3126380,10092414,4,78752,18.12,TRAVIS COUNTY
459192468: 20183070145,11/03/2018 12:00:00 AM,601 N IH 35 SVRD NB,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3117100,10069985,3,78702,-,TRAVIS COUNTY
459112043: 20183060450,11/02/2018 12:00:00 AM,3700 S MOPAC EXPY SVRD NB,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3094588,10062118,8,78746,-,TRAVIS COUNTY
97322481: 20183071664,11/02/2018 12:00:00 AM,10214 BROWNIE DR,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3131751,10107691,4,78753,-,TRAVIS COUNTY
459338725: 20183062120,11/02/2018 12:00:00 AM,5720 ENCINAL CV,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3112249,10043174,2,78744,-,TRAVIS COUNTY
459736134: 20183060245,11/02/2018 12:00:00 AM,9300 LE CONTE CV,F,A,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3070357,10048095,8,78749,17.37,TRAVIS COUNTY
179241388: 20183061393,11/02/2018 12:00:00 AM,110 SAN ANTONIO ST,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3112329,10069700,9,78701,-,TRAVIS COUNTY
459308881: 20183060167,11/02/2018 12:00:00 AM,PROVINES DR / N LAMAR BLVD,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3130256,10110662,4,78753,-,TRAVIS COUNTY
1185431: 20183061987,11/02/2018 12:00:00 AM,317 E 6TH ST,,,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115265,10070399,9,78701,-,TRAVIS COUNTY
367135099: 20183061462,11/02/2018 12:00:00 AM,1919 S PLEASANT VALLEY RD,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3121139,10058528,3,78741,-,TRAVIS COUNTY
167518024: 20183061904,11/02/2018 12:00:00 AM,10000 N LAMAR BLVD,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3128495,10107901,4,78758,18.22,TRAVIS COUNTY
270730120: 20183060167,11/02/2018 12:00:00 AM,PROVINES DR / N LAMAR BLVD,M,A,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3130256,10110662,4,78753,-,TRAVIS COUNTY
459736402: 20183062106,11/02/2018 12:00:00 AM,421 E 6TH ST,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115650,10070260,9,78701,-,TRAVIS COUNTY
459366773: 20183060818,11/02/2018 12:00:00 AM,2500 BIGGS DR,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3116262,10056819,3,78741,23.07,TRAVIS COUNTY
459018952: 20183060926,11/02/2018 12:00:00 AM,E RIVERSIDE DR / ALAMEDA DR,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115184,10064460,9,78704,-,TRAVIS COUNTY
458791726: 20183071664,11/02/2018 12:00:00 AM,10214 BROWNIE DR,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3131751,10107691,4,78753,-,TRAVIS COUNTY
459411531: 20183060193,11/02/2018 12:00:00 AM,3615 S CONGRESS AVE,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3108919,10055779,3,78704,23.08,TRAVIS COUNTY
459736131: 20183060245,11/02/2018 12:00:00 AM,9300 LE CONTE CV,F,A,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3070357,10048095,8,78749,17.37,TRAVIS COUNTY
459735677: 20183050165,11/01/2018 12:00:00 AM,300 BLOCK E 6TH ST,F,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3115154,10070604,9,78701,-,TRAVIS COUNTY
459097583: 20183050103,11/01/2018 12:00:00 AM,606 TRINITY ST,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3115387,10070517,9,78701,-,TRAVIS COUNTY
459735583: 20183050123,11/01/2018 12:00:00 AM,E 6TH ST / TRINITY ST,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115415,10070416,9,78701,-,TRAVIS COUNTY
9830737: 20183051345,11/01/2018 12:00:00 AM,2538 ELMONT DR,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3121810,10060460,3,78741,-,TRAVIS COUNTY
459642923: 20183050165,11/01/2018 12:00:00 AM,300 BLOCK E 6TH ST,F,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3115154,10070604,9,78701,-,TRAVIS COUNTY
459018952: 20185043940,11/01/2018 12:00:00 AM,500 SAN MARCOS ST,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3117459,10069533,3,78702,-,TRAVIS COUNTY
458763231: 20183051830,11/01/2018 12:00:00 AM,10101 S 1ST ST,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3097265,10030093,5,78748,24.21,TRAVIS COUNTY
459004349: 20183051534,11/01/2018 12:00:00 AM,N LAMAR BLVD / W KOENIG LN,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3119016,10091918,4,78752,-,TRAVIS COUNTY
315167759: 20183050743,11/01/2018 12:00:00 AM,5510 BURGUNDY DR,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3142282,10088233,1,78724,22.01,TRAVIS COUNTY
119277642: 20183051386,11/01/2018 12:00:00 AM,BERGER ST / DEWEY ST,M,B,PREPARATORY RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3131697,10071974,3,78721,-,TRAVIS COUNTY
382994578: 20183050239,11/01/2018 12:00:00 AM,9600 S IH 35 SVRD SB,M,W,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3099540,10031306,5,78748,-,TRAVIS COUNTY
459735610: 20183050103,11/01/2018 12:00:00 AM,606 TRINITY ST,M,W,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115387,10070517,9,78701,-,TRAVIS COUNTY
165024613: 20183052034,11/01/2018 12:00:00 AM,1318 LAMAR SQUARE DR,M,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3107776,10065904,5,78704,13.03,TRAVIS COUNTY
459735644: 20183050249,11/01/2018 12:00:00 AM,1920 S IH 35 SVRD SB,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115796,10060185,9,78704,14.02,TRAVIS COUNTY
388633462: 20183050401,11/01/2018 12:00:00 AM,701 E 11TH ST,M,B,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3116995,10071738,1,78701,-,TRAVIS COUNTY
459735645: 20183050249,11/01/2018 12:00:00 AM,1920 S IH 35 SVRD SB,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3115796,10060185,9,78704,14.02,TRAVIS COUNTY
170132093: 20183051261,11/01/2018 12:00:00 AM,2301 S CONGRESS AVE,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3111643,10060286,9,78704,-,TRAVIS COUNTY
378733797: 20185040576,11/01/2018 12:00:00 AM,8221 N IH 35 SVRD NB,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,3128555,10098998,4,78753,-,TRAVIS COUNTY
301924920: 20183050411,11/01/2018 12:00:00 AM,6307 CLUBWAY LN,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3097650,10047579,2,78745,-,TRAVIS COUNTY
33294033: 20183050896,11/01/2018 12:00:00 AM,1500 E PARMER LN,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3142154,10115695,7,78753,18.39,TRAVIS COUNTY
459502481: 20183050242,11/01/2018 12:00:00 AM,5017 SH 45 EB,M,W,PASSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3069450,10034385,8,78739,17.75,TRAVIS COUNTY
459339166: 20183040545,10/31/2018 12:00:00 AM,4500 SOUTHWEST DR,F,H,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3113583,10043466,2,78744,24.12,TRAVIS COUNTY
87687451: 20183040020,10/31/2018 12:00:00 AM,700 SAN JACINTO BLVD,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115130,10070956,9,78701,11,TRAVIS COUNTY
458954534: 20183040136,10/31/2018 12:00:00 AM,E 6TH ST / SAN JACINTO BLVD,M,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115084,10070527,9,78701,-,TRAVIS COUNTY
291506180: 20183041035,10/31/2018 12:00:00 AM,1425 COMAL ST,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,3120075,10073682,1,78702,8.03,TRAVIS COUNTY
458857599: 20183041165,10/31/2018 12:00:00 AM,SUNHILLOW BND / METRIC BLVD,F,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3125471,10118648,7,78758,18.44,TRAVIS COUNTY
459553002: 20183031658,10/30/2018 12:00:00 AM,1700 WICKERSHAM LN,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3121966,10058835,3,78741,-,TRAVIS COUNTY
459527789: 20183031799,10/30/2018 12:00:00 AM,11318 WALNUT RIDGE DR,M,H,AGGRESSIVE RESISTANCE,MINOR INJURY,3136658,10110490,1,78753,-,TRAVIS COUNTY
459665471: 20183031799,10/30/2018 12:00:00 AM,11318 WALNUT RIDGE DR,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3136658,10110490,1,78753,-,TRAVIS COUNTY
459329185: 20183030513,10/30/2018 12:00:00 AM,6921 ENTERPRISE CT,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3131812,10090320,1,78723,21.12,TRAVIS COUNTY
321654889: 20183031930,10/30/2018 12:00:00 AM,1401 E 12TH ST,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3119945,10072572,1,78702,-,TRAVIS COUNTY
459270554: 20183021281,10/29/2018 12:00:00 AM,2508 E RIVERSIDE DR,M,W,DEFENSIVE RESISTANCE,MINOR INJURY,3120958,10059176,3,78741,-,TRAVIS COUNTY
459680339: 20183020005,10/29/2018 12:00:00 AM,6009 DAFFODIL DR,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3122839,10050381,2,78744,24.31,TRAVIS COUNTY
378929452: 20183020683,10/29/2018 12:00:00 AM,E 38TH HALF ST / N IH 35 SVRD NB,M,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3121476,10080631,9,78722,-,TRAVIS COUNTY
186854162: 20183021552,10/29/2018 12:00:00 AM,9125 NORTH PLZ,M,H,PREPARATORY RESISTANCE,COMPLAINT OF INJURY/PAIN,3131662,10102587,4,78753,-,TRAVIS COUNTY
459734971: 20183021971,10/29/2018 12:00:00 AM,2005 WILLOW CREEK DR,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3119100,10057764,3,78741,23.16,TRAVIS COUNTY
382206937: 20183011409,10/28/2018 12:00:00 AM,2347 DOUGLAS ST,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3118325,10056320,3,78741,23.13,TRAVIS COUNTY
459265976: 20183010140,10/28/2018 12:00:00 AM,500 SAN JACINTO BLVD,M,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3114905,10070325,9,78701,-,TRAVIS COUNTY
17302316: 20183010444,10/28/2018 12:00:00 AM,500 E 7TH ST,M,B,PREPARATORY RESISTANCE,COMPLAINT OF INJURY/PAIN,3115951,10070759,9,78701,-,TRAVIS COUNTY
